Dataset,Solver,Timeout,Time,Size,Certificate
aa24,huffner,0.01,0.01,27,"['13', '16', '20', '34', '53', '55', '56', '64', '69', '71', '76', '3', '30', '70', '12', '21', '77', '61', '60', '29', '35', '58', '2', '36', '9', '37', '49']"
aa24,huffner,0.1,0.1,24,"['12', '13', '2', '21', '30', '31', '32', '33', '35', '37', '55', '61', '63', '70', '76', '16', '29', '49', '73', '72', '3', '36', '69', '20']"
aa24,huffner,1,1,21,"['1', '12', '13', '2', '20', '29', '3', '30', '31', '32', '33', '35', '36', '37', '49', '55', '61', '63', '69', '70', '76']"
aa24,huffner,10,2.8,21,"['1', '12', '13', '2', '20', '29', '3', '30', '31', '32', '33', '35', '36', '37', '49', '55', '61', '63', '69', '70', '76']"
aa25,huffner,0.01,0.0,0,[]
aa25,huffner,0.1,0.0,0,[]
aa25,huffner,1,0.3,0,[]
aa25,huffner,10,1.0,0,[]
aa26,huffner,0.01,0.0,12,"['1', '19', '21', '22', '25', '29', '30', '31', '33', '35', '38', '5']"
aa26,huffner,0.1,0.0,12,"['1', '19', '21', '22', '25', '29', '30', '31', '33', '35', '38', '5']"
aa26,huffner,1,0.3,12,"['1', '19', '21', '22', '25', '29', '30', '31', '33', '35', '38', '5']"
aa26,huffner,10,1.0,12,"['1', '19', '21', '22', '25', '29', '30', '31', '33', '35', '38', '5']"
aa27,huffner,0.01,0.0,11,"['0', '17', '18', '20', '23', '27', '28', '30', '31', '40', '9']"
aa27,huffner,0.1,0.0,11,"['0', '11', '17', '20', '23', '27', '30', '31', '43', '6', '9']"
aa27,huffner,1,0.3,11,"['0', '18', '20', '23', '27', '28', '30', '31', '43', '6', '9']"
aa27,huffner,10,1.0,11,"['0', '18', '20', '23', '27', '28', '30', '31', '43', '6', '9']"
aa28,huffner,0.01,0.01,32,"['13', '15', '18', '24', '25', '28', '3', '30', '31', '40', '46', '54', '56', '58', '64', '9', '14', '2', '59', '52', '51', '23', '60', '49', '17', '33', '6', '36', '37', '32', '11', '41']"
aa28,huffner,0.1,0.1,29,"['11', '13', '14', '15', '17', '18', '2', '24', '25', '28', '30', '31', '32', '45', '46', '51', '56', '58', '59', '6', '60', '64', '36', '54', '141', '37', '9', '40', '41']"
aa28,huffner,1,0.4,27,"['11', '13', '14', '15', '17', '18', '2', '24', '25', '28', '30', '31', '32', '36', '37', '40', '45', '46', '51', '54', '56', '58', '59', '6', '60', '64', '9']"
aa28,huffner,10,1.5,28,"['11', '13', '14', '15', '17', '18', '20', '24', '25', '28', '30', '31', '32', '35', '36', '37', '41', '46', '49', '52', '53', '54', '59', '60', '62', '63', '64', '9']"
aa29,huffner,0.01,0.01,26,"['10', '14', '25', '29', '33', '36', '38', '42', '54', '55', '66', '68', '26', '67', '15', '20', '7', '61', '6', '21', '4', '58', '17', '40', '46', '45']"
aa29,huffner,0.1,0.1,24,"['10', '189', '21', '24', '25', '32', '36', '38', '39', '42', '45', '50', '54', '55', '58', '6', '61', '17', '233', '43', '68', '66', '241', '40']"
aa29,huffner,1,0.5,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa29,huffner,10,1.2,21,"['10', '13', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '58', '6', '66', '68', '7']"
aa30,huffner,0.01,0.0,4,"['11', '2', '4', '7']"
aa30,huffner,0.1,0.0,4,"['11', '2', '4', '7']"
aa30,huffner,1,0.3,4,"['11', '2', '4', '7']"
aa30,huffner,10,1.0,4,"['11', '2', '4', '7']"
aa31,huffner,0.01,0.0,0,[]
aa31,huffner,0.1,0.0,0,[]
aa31,huffner,1,0.3,0,[]
aa31,huffner,10,1.0,0,[]
aa32,huffner,0.01,0.01,35,"['11', '17', '21', '25', '29', '32', '4', '43', '48', '49', '59', '60', '61', '9', '23', '24', '52', '12', '20', '55', '46', '45', '22', '57', '7', '16', '36', '56', '37', '39', '33', '1', '41', '44', '54']"
aa32,huffner,0.1,0.1,35,"['1', '14', '15', '19', '20', '21', '25', '29', '32', '4', '44', '46', '51', '55', '56', '57', '59', '60', '11', '16', '58', '49', '48', '18', '63', '9', '13', '36', '61', '38', '39', '34', '0', '43', '47']"
aa32,huffner,1,1,33,"['11', '12', '16', '21', '23', '24', '25', '26', '27', '29', '30', '32', '4', '41', '42', '45', '52', '53', '55', '56', '57', '59', '6', '9', '65', '50', '17', '35', '60', '36', '37', '33', '1']"
aa32,huffner,10,10,30,"['0', '11', '14', '16', '19', '20', '21', '23', '24', '25', '26', '27', '30', '32', '33', '35', '36', '39', '4', '45', '52', '55', '56', '57', '59', '6', '60', '7', '9', '1']"
aa33,huffner,0.01,0.0,4,"['24', '32', '33', '35']"
aa33,huffner,0.1,0.0,4,"['24', '32', '33', '35']"
aa33,huffner,1,0.3,4,"['24', '32', '33', '35']"
aa33,huffner,10,1.0,4,"['24', '32', '33', '35']"
aa34,huffner,0.01,0.0,13,"['11', '13', '14', '16', '19', '20', '21', '3', '31', '35', '36', '37', '5']"
aa34,huffner,0.1,0.0,13,"['11', '13', '14', '16', '19', '20', '21', '28', '3', '31', '35', '36', '5']"
aa34,huffner,1,0.3,13,"['11', '13', '14', '16', '19', '20', '21', '28', '3', '31', '35', '36', '5']"
aa34,huffner,10,1.0,13,"['11', '13', '14', '16', '19', '20', '21', '28', '3', '31', '35', '36', '5']"
aa35,huffner,0.01,0.0,10,"['0', '13', '14', '20', '21', '24', '3', '30', '32', '37']"
aa35,huffner,0.1,0.0,10,"['0', '13', '14', '20', '21', '24', '3', '30', '32', '37']"
aa35,huffner,1,0.3,10,"['0', '13', '14', '20', '21', '24', '3', '30', '32', '37']"
aa35,huffner,10,1.0,10,"['0', '13', '14', '16', '20', '21', '3', '30', '32', '37']"
aa36,huffner,0.01,0.0,7,"['10', '14', '15', '16', '21', '31', '8']"
aa36,huffner,0.1,0.0,7,"['10', '17', '18', '29', '31', '32', '8']"
aa36,huffner,1,0.3,7,"['10', '17', '18', '29', '31', '32', '8']"
aa36,huffner,10,1.0,7,"['10', '17', '18', '29', '31', '32', '8']"
aa37,huffner,0.01,0.0,4,"['1', '20', '4', '5']"
aa37,huffner,0.1,0.0,4,"['1', '20', '4', '5']"
aa37,huffner,1,0.3,4,"['1', '20', '4', '5']"
aa37,huffner,10,1.0,4,"['1', '20', '4', '5']"
aa38,huffner,0.01,0.01,31,"['0', '16', '18', '22', '26', '29', '35', '47', '48', '49', '5', '50', '52', '60', '62', '65', '3', '63', '21', '27', '66', '6', '56', '28', '38', '53', '25', '39', '7', '41', '42']"
aa38,huffner,0.1,0.1,27,"['0', '16', '18', '21', '25', '26', '35', '38', '39', '41', '42', '47', '5', '50', '52', '56', '6', '60', '65', '7', '64', '63', '29', '48', '62', '22', '49']"
aa38,huffner,1,1,26,"['0', '16', '18', '21', '22', '25', '26', '29', '35', '38', '39', '41', '42', '47', '48', '49', '5', '50', '52', '56', '6', '60', '62', '63', '65', '7']"
aa38,huffner,10,1.7,26,"['0', '16', '18', '21', '22', '25', '26', '29', '35', '38', '39', '41', '42', '47', '48', '49', '5', '50', '52', '56', '6', '60', '62', '63', '65', '7']"
aa39,huffner,0.01,0.01,27,"['10', '11', '17', '18', '23', '24', '27', '28', '57', '6', '9', '56', '48', '21', '22', '7', '13', '19', '30', '52', '50', '20', '29', '5', '15', '3', '31']"
aa39,huffner,0.1,0.1,26,"['10', '11', '17', '18', '22', '23', '24', '27', '28', '48', '56', '57', '6', '7', '9', '13', '19', '30', '52', '50', '20', '29', '5', '15', '3', '31']"
aa39,huffner,1,1,24,"['10', '13', '18', '20', '22', '23', '28', '29', '3', '30', '31', '34', '36', '40', '41', '48', '5', '56', '7', '9', '6', '27', '35', '57']"
aa39,huffner,10,2.2,23,"['10', '11', '13', '17', '18', '19', '20', '22', '23', '24', '27', '28', '29', '3', '30', '31', '35', '40', '47', '5', '6', '7', '9']"
aa40,huffner,0.01,0.01,28,"['0', '17', '30', '32', '33', '41', '44', '45', '46', '6', '34', '40', '11', '56', '47', '27', '28', '7', '12', '25', '4', '52', '50', '26', '37', '48', '19', '38']"
aa40,huffner,0.1,0.1,23,"['17', '18', '26', '27', '28', '33', '37', '41', '44', '45', '46', '52', '55', '56', '58', '59', '8', '40', '48', '2', '32', '50', '47']"
aa40,huffner,1,1,22,"['12', '17', '18', '27', '28', '32', '33', '37', '40', '41', '44', '45', '46', '48', '50', '52', '53', '55', '56', '58', '8', '47']"
aa40,huffner,10,2.0,22,"['12', '17', '18', '27', '28', '32', '33', '37', '40', '41', '44', '45', '46', '47', '48', '50', '52', '53', '55', '56', '58', '8']"
aa41,huffner,0.01,0.01,46,"['11', '29', '44', '45', '50', '53', '6', '63', '7', '71', '87', '41', '18', '2', '51', '10', '14', '56', '48', '47', '64', '58', '62', '12', '33', '8', '83', '74', '30', '76', '39', '46', '54', '15', '57', '68', '49', '20', '72', '86', '0', '66', '13', '35', '36', '1']"
aa41,huffner,0.1,0.1,45,"['11', '13', '17', '2', '27', '28', '29', '41', '45', '46', '51', '54', '61', '62', '66', '72', '76', '87', '57', '49', '48', '68', '6', '63', '14', '36', '86', '88', '81', '35', '83', '44', '47', '56', '18', '58', '71', '50', '26', '8', '39', '10', '7', '15', '37']"
aa41,huffner,1,1,46,"['10', '11', '12', '15', '2', '20', '27', '29', '30', '41', '46', '47', '49', '50', '56', '57', '6', '62', '63', '66', '68', '7', '71', '76', '79', '87', '13', '35', '86', '36', '81', '33', '83', '42', '48', '58', '18', '61', '74', '51', '26', '8', '37', '1', '72', '14']"
aa41,huffner,10,10,42,"['10', '11', '13', '15', '18', '2', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '76', '83', '86', '87', '74', '51', '26', '8', '37', '1', '72', '14']"
aa42,huffner,0.01,0.01,35,"['10', '16', '20', '24', '25', '33', '47', '5', '50', '61', '65', '79', '80', '85', '23', '66', '11', '17', '74', '59', '58', '87', '78', '81', '15', '34', '75', '36', '38', '32', '1', '49', '56', '69', '18']"
aa42,huffner,0.1,0.1,33,"['10', '11', '16', '20', '23', '24', '25', '33', '47', '5', '50', '58', '59', '61', '65', '66', '74', '78', '79', '80', '85', '81', '15', '34', '75', '36', '38', '32', '1', '49', '56', '69', '18']"
aa42,huffner,1,1,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85', '61']"
aa42,huffner,10,2.5,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']"
aa43,huffner,0.01,0.01,19,"['1', '10', '16', '2', '21', '22', '27', '28', '30', '31', '32', '38', '39', '4', '5', '8', '36', '12', '20']"
aa43,huffner,0.1,0.0,19,"['10', '13', '14', '16', '17', '2', '20', '21', '22', '25', '27', '28', '31', '32', '36', '38', '4', '7', '8']"
aa43,huffner,1,0.3,19,"['10', '13', '14', '16', '17', '2', '20', '21', '22', '25', '27', '28', '31', '32', '36', '38', '4', '7', '8']"
aa43,huffner,10,1.0,19,"['10', '13', '14', '16', '17', '2', '20', '21', '22', '25', '27', '28', '31', '32', '36', '38', '4', '7', '8']"
aa44,huffner,0.01,0.0,10,"['0', '16', '18', '21', '23', '25', '27', '29', '30', '4']"
aa44,huffner,0.1,0.0,10,"['0', '16', '22', '23', '25', '26', '27', '29', '30', '4']"
aa44,huffner,1,0.3,10,"['0', '16', '22', '23', '25', '26', '27', '29', '30', '4']"
aa44,huffner,10,1.0,10,"['0', '16', '22', '23', '25', '26', '27', '29', '30', '4']"
aa45,huffner,0.01,0.01,22,"['1', '12', '2', '20', '21', '24', '26', '27', '29', '34', '35', '36', '4', '40', '6', '25', '32', '11', '22', '33', '30', '23']"
aa45,huffner,0.1,0.1,22,"['10', '11', '15', '19', '2', '20', '24', '26', '29', '3', '33', '35', '36', '41', '42', '5', '7', '39', '13', '21', '4', '38']"
aa45,huffner,1,0.4,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa45,huffner,10,1.1,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa46,huffner,0.01,0.01,13,"['0', '1', '13', '14', '16', '19', '2', '22', '26', '3', '45', '54', '56']"
aa46,huffner,0.1,0.0,13,"['0', '1', '13', '14', '16', '19', '2', '22', '26', '3', '45', '54', '56']"
aa46,huffner,1,0.3,13,"['0', '1', '13', '14', '16', '19', '2', '22', '26', '3', '45', '54', '56']"
aa46,huffner,10,1.0,13,"['0', '1', '13', '14', '16', '19', '2', '22', '26', '3', '45', '54', '56']"
aa47,huffner,0.01,0.0,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa47,huffner,0.1,0.0,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa47,huffner,1,0.3,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa47,huffner,10,1.0,13,"['16', '17', '18', '2', '20', '25', '28', '29', '30', '32', '33', '5', '6']"
aa48,huffner,0.01,0.01,18,"['0', '1', '15', '16', '17', '18', '25', '26', '27', '30', '37', '9', '19', '33', '23', '24', '34', '14']"
aa48,huffner,0.1,0.1,17,"['0', '1', '15', '16', '17', '18', '19', '20', '23', '27', '33', '34', '37', '38', '40', '6', '9']"
aa48,huffner,1,0.3,17,"['0', '1', '15', '16', '17', '18', '19', '20', '23', '27', '33', '34', '37', '38', '40', '6', '9']"
aa48,huffner,10,1.0,17,"['0', '1', '15', '16', '17', '18', '19', '20', '23', '27', '33', '34', '37', '38', '40', '6', '9']"
aa49,huffner,0.01,0.0,0,[]
aa49,huffner,0.1,0.0,0,[]
aa49,huffner,1,0.3,0,[]
aa49,huffner,10,1.0,0,[]
aa50,huffner,0.01,0.01,19,"['11', '18', '22', '23', '29', '31', '35', '39', '49', '5', '53', '58', '59', '7', '8', '33', '52', '17', '24']"
aa50,huffner,0.1,0.1,18,"['11', '18', '22', '23', '24', '29', '31', '33', '35', '39', '49', '5', '52', '53', '58', '59', '7', '8']"
aa50,huffner,1,0.3,18,"['11', '18', '22', '23', '24', '29', '31', '33', '35', '39', '49', '5', '52', '53', '58', '59', '7', '8']"
aa50,huffner,10,1.1,18,"['11', '18', '20', '22', '23', '24', '29', '31', '33', '35', '39', '49', '5', '52', '53', '58', '59', '7']"
aa51,huffner,0.01,0.0,11,"['1', '11', '17', '24', '3', '35', '41', '42', '6', '7', '9']"
aa51,huffner,0.1,0.0,11,"['11', '17', '24', '3', '35', '41', '42', '43', '6', '7', '9']"
