Dataset,Solver,Timeout,Time,Size,Certificate
gka_1,huffner,10,1.0,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_2,huffner,0.01,0.01,16,"['15', '2', '22', '27', '3', '30', '33', '38', '44', '9', '36', '51', '35', '19', '31', '56']"
gka_2,huffner,0.1,0.1,16,"['15', '2', '22', '27', '3', '30', '33', '35', '36', '38', '44', '51', '9', '19', '31', '56']"
gka_2,huffner,1,1,16,"['15', '19', '2', '22', '27', '3', '30', '31', '33', '35', '36', '38', '44', '51', '56', '9']"
gka_2,huffner,10,2.1,16,"['15', '19', '2', '22', '27', '3', '30', '31', '33', '35', '36', '38', '44', '51', '56', '9']"
gka_3,huffner,0.01,0.01,24,"['1', '19', '22', '24', '45', '46', '56', '57', '59', '61', '43', '47', '54', '16', '7', '64', '38', '41', '51', '18', '29', '52', '49', '35']"
gka_3,huffner,0.1,0.1,24,"['1', '19', '22', '24', '43', '45', '46', '47', '56', '57', '59', '61', '54', '16', '7', '64', '38', '41', '51', '18', '29', '52', '49', '35']"
gka_3,huffner,1,1,24,"['1', '16', '19', '22', '24', '43', '45', '46', '47', '54', '56', '57', '59', '61', '7', '64', '38', '41', '51', '18', '29', '52', '49', '35']"
gka_3,huffner,10,10,23,"['10', '15', '19', '20', '23', '24', '25', '29', '3', '38', '45', '46', '47', '49', '54', '59', '60', '61', '64', '69', '9', '57', '52']"
gka_4,huffner,0.01,0.01,31,"['1', '13', '15', '28', '36', '49', '57', '59', '62', '76', '24', '37', '8', '10', '72', '63', '2', '22', '78', '11', '17', '9', '69', '67', '19', '38', '65', '14', '39', '43', '40']"
gka_4,huffner,0.1,0.1,30,"['10', '19', '22', '37', '40', '43', '46', '57', '61', '62', '65', '72', '9', '15', '71', '67', '30', '36', '76', '17', '24', '50', '70', '69', '28', '49', '68', '2', '5', '53']"
gka_4,huffner,1,1,30,"['10', '15', '19', '22', '30', '37', '40', '43', '46', '57', '61', '62', '65', '67', '71', '72', '9', '36', '76', '17', '24', '50', '70', '69', '28', '49', '68', '2', '5', '53']"
gka_4,huffner,10,10,29,"['1', '10', '13', '17', '18', '20', '24', '27', '31', '35', '37', '40', '43', '57', '61', '62', '65', '67', '76', '9', '50', '70', '69', '28', '49', '68', '2', '5', '53']"
gka_5,huffner,0.01,0.01,22,"['0', '13', '14', '16', '28', '35', '38', '40', '47', '48', '49', '6', '46', '11', '22', '42', '25', '26', '43', '12', '21', '44']"
gka_5,huffner,0.1,0.1,22,"['0', '11', '13', '14', '16', '22', '28', '35', '38', '40', '42', '46', '47', '48', '49', '6', '25', '26', '43', '12', '21', '44']"
gka_5,huffner,1,1,22,"['0', '11', '12', '13', '14', '16', '22', '25', '26', '28', '35', '38', '40', '42', '43', '46', '47', '48', '49', '6', '21', '44']"
gka_5,huffner,10,4.3,22,"['0', '11', '12', '13', '14', '16', '21', '22', '25', '26', '28', '35', '38', '40', '42', '43', '44', '46', '47', '48', '49', '6']"
gka_6,huffner,0.01,0.01,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '9', '6']"
gka_6,huffner,0.1,0.0,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_6,huffner,1,0.3,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_6,huffner,10,1.0,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_7,huffner,0.01,0.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_7,huffner,0.1,0.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_7,huffner,1,0.3,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_7,huffner,10,1.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_8,huffner,0.01,0.01,33,"['15', '22', '24', '4', '40', '59', '60', '63', '71', '90', '37', '41', '94', '19', '89', '8', '28', '30', '92', '20', '25', '95', '86', '85', '27', '98', '80', '23', '55', '97', '56', '57', '54']"
gka_8,huffner,0.1,0.1,33,"['15', '22', '24', '37', '4', '40', '41', '59', '60', '63', '71', '90', '94', '19', '89', '8', '28', '30', '92', '20', '25', '95', '86', '85', '27', '98', '80', '23', '55', '97', '56', '57', '54']"
gka_8,huffner,1,1,29,"['10', '11', '12', '13', '16', '3', '31', '4', '63', '68', '74', '79', '85', '92', '94', '93', '15', '25', '95', '9', '89', '26', '53', '86', '20', '55', '98', '59', '60']"
gka_8,huffner,10,10,29,"['10', '11', '12', '13', '15', '16', '25', '3', '31', '4', '63', '68', '74', '79', '85', '92', '93', '94', '95', '9', '89', '26', '53', '86', '20', '55', '98', '59', '60']"
gka_9,huffner,0.01,0.0,2,"['4', '5']"
gka_9,huffner,0.1,0.0,2,"['4', '5']"
gka_9,huffner,1,0.3,2,"['4', '5']"
gka_9,huffner,10,1.0,2,"['4', '5']"
gka_10,huffner,0.01,0.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_10,huffner,0.1,0.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_10,huffner,1,0.3,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_10,huffner,10,1.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_11,huffner,0.01,0.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_11,huffner,0.1,0.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_11,huffner,1,0.3,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_11,huffner,10,1.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_12,huffner,0.01,0.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_12,huffner,0.1,0.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_12,huffner,1,0.3,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_12,huffner,10,1.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_13,huffner,0.01,0.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_13,huffner,0.1,0.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_13,huffner,1,0.3,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_13,huffner,10,1.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_14,huffner,0.01,0.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_14,huffner,0.1,0.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_14,huffner,1,0.3,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_14,huffner,10,1.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_15,huffner,0.01,0.0,0,[]
gka_15,huffner,0.1,0.0,0,[]
gka_15,huffner,1,0.3,0,[]
gka_15,huffner,10,1.0,0,[]
gka_16,huffner,0.01,0.0,0,[]
gka_16,huffner,0.1,0.0,0,[]
gka_16,huffner,1,0.3,0,[]
gka_16,huffner,10,1.0,0,[]
gka_17,huffner,0.01,0.0,0,[]
gka_17,huffner,0.1,0.0,0,[]
gka_17,huffner,1,0.3,0,[]
gka_17,huffner,10,1.0,0,[]
gka_18,huffner,0.01,0.0,2,"['0', '6']"
gka_18,huffner,0.1,0.0,2,"['0', '6']"
gka_18,huffner,1,0.3,2,"['0', '6']"
gka_18,huffner,10,1.0,2,"['0', '6']"
gka_19,huffner,0.01,0.01,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_19,huffner,0.1,0.0,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_19,huffner,1,0.3,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_19,huffner,10,1.0,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_20,huffner,0.01,0.01,39,"['10', '11', '12', '14', '15', '17', '18', '2', '20', '22', '23', '29', '3', '32', '34', '36', '37', '38', '4', '40', '42', '47', '48', '6', '8', '46', '49', '13', '26', '9', '27', '28', '24', '1', '31', '35', '41', '16', '44']"
gka_20,huffner,0.1,0.1,39,"['10', '11', '12', '13', '14', '15', '17', '18', '2', '20', '22', '23', '24', '26', '27', '28', '29', '3', '32', '34', '36', '37', '38', '4', '40', '42', '46', '47', '48', '49', '6', '8', '9', '1', '31', '35', '41', '16', '44']"
gka_20,huffner,1,0.6,39,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '2', '20', '22', '23', '24', '26', '27', '28', '29', '3', '31', '32', '34', '35', '36', '37', '38', '4', '40', '41', '42', '44', '46', '47', '48', '49', '6', '8', '9']"
gka_20,huffner,10,1.3,39,"['1', '10', '11', '12', '13', '14', '15', '16', '17', '18', '2', '20', '22', '23', '24', '26', '27', '28', '29', '3', '31', '32', '34', '35', '36', '37', '38', '4', '40', '41', '42', '44', '46', '47', '48', '49', '6', '8', '9']"
gka_21,huffner,0.01,0.01,42,"['1', '11', '17', '20', '24', '25', '27', '34', '35', '37', '39', '52', '53', '56', '7', '8', '21', '46', '10', '18', '48', '43', '42', '58', '50', '54', '16', '29', '59', '30', '33', '28', '0', '36', '41', '47', '2', '49', '6', '44', '22', '9']"
gka_21,huffner,0.1,0.1,42,"['1', '16', '18', '22', '24', '27', '28', '29', '36', '38', '40', '41', '46', '47', '53', '54', '58', '8', '9', '11', '2', '49', '44', '43', '59', '52', '56', '17', '33', '6', '34', '35', '30', '0', '39', '42', '48', '20', '50', '7', '45', '25']"
gka_21,huffner,1,1,41,"['1', '10', '11', '18', '2', '21', '22', '24', '25', '27', '28', '33', '34', '39', '4', '42', '43', '48', '49', '50', '53', '54', '55', '56', '59', '6', '9', '17', '3', '7', '30', '31', '29', '0', '35', '41', '5', '20', '52', '8', '47']"
gka_21,huffner,10,10,40,"['0', '1', '10', '11', '14', '16', '17', '18', '2', '21', '22', '25', '27', '28', '29', '3', '31', '33', '34', '35', '36', '38', '39', '4', '41', '42', '43', '46', '48', '49', '5', '54', '55', '59', '6', '7', '20', '52', '8', '47']"
gka_22,huffner,0.01,0.01,46,"['11', '16', '21', '22', '24', '30', '31', '34', '42', '51', '52', '57', '64', '1', '62', '35', '19', '2', '44', '10', '17', '49', '38', '37', '59', '50', '54', '15', '28', '8', '29', '67', '25', '68', '33', '36', '46', '18', '5', '61', '41', '20', '66', '3', '0', '60']"
gka_22,huffner,0.1,0.1,46,"['1', '11', '16', '19', '2', '21', '22', '24', '30', '31', '34', '35', '42', '44', '51', '52', '57', '62', '64', '10', '17', '49', '38', '37', '59', '50', '54', '15', '28', '8', '29', '67', '25', '68', '33', '36', '46', '18', '5', '61', '41', '20', '66', '3', '0', '60']"
gka_22,huffner,1,1,44,"['1', '11', '12', '17', '19', '21', '22', '30', '31', '34', '35', '37', '38', '39', '4', '47', '48', '49', '51', '52', '57', '6', '59', '50', '54', '15', '28', '8', '29', '67', '25', '68', '33', '36', '46', '18', '5', '61', '41', '20', '66', '3', '0', '60']"
gka_22,huffner,10,10,44,"['1', '11', '13', '14', '15', '16', '2', '21', '22', '28', '3', '31', '34', '35', '37', '38', '40', '41', '44', '46', '5', '51', '52', '57', '58', '59', '60', '61', '64', '30', '8', '29', '9', '36', '39', '45', '18', '49', '66', '42', '20', '69', '33', '0']"
gka_23,huffner,0.01,0.01,48,"['11', '22', '23', '24', '31', '33', '37', '44', '53', '55', '58', '73', '8', '1', '71', '39', '2', '20', '45', '10', '16', '49', '42', '40', '6', '52', '57', '13', '28', '79', '9', '76', '26', '78', '35', '4', '47', '18', '51', '68', '43', '21', '75', '30', '0', '65', '15', '29']"
gka_23,huffner,0.1,0.1,48,"['1', '11', '22', '23', '24', '31', '33', '37', '39', '44', '53', '55', '58', '71', '73', '8', '2', '20', '45', '10', '16', '49', '42', '40', '6', '52', '57', '13', '28', '79', '9', '76', '26', '78', '35', '4', '47', '18', '51', '68', '43', '21', '75', '30', '0', '65', '15', '29']"
gka_23,huffner,1,1,47,"['11', '13', '14', '18', '22', '23', '27', '3', '30', '37', '38', '4', '42', '51', '52', '58', '59', '60', '69', '71', '8', '54', '49', '45', '64', '57', '6', '15', '32', '79', '33', '74', '31', '78', '39', '44', '53', '21', '55', '68', '50', '26', '73', '35', '10', '67', '17']"
gka_23,huffner,10,10,46,"['11', '13', '15', '18', '21', '26', '27', '30', '31', '32', '38', '39', '42', '44', '52', '54', '56', '59', '6', '64', '71', '73', '49', '47', '67', '58', '60', '17', '34', '8', '35', '78', '33', '79', '4', '45', '55', '22', '57', '69', '51', '3', '74', '37', '10', '68']"
gka_24,huffner,0.01,0.01,38,"['2', '24', '39', '4', '49', '51', '69', '79', '80', '55', '38', '40', '83', '14', '67', '58', '35', '36', '70', '19', '25', '73', '64', '62', '86', '76', '82', '22', '43', '75', '46', '47', '42', '1', '53', '59', '72', '34']"
gka_24,huffner,0.1,0.1,38,"['2', '24', '38', '39', '4', '40', '49', '51', '55', '69', '79', '80', '83', '14', '67', '58', '35', '36', '70', '19', '25', '73', '64', '62', '86', '76', '82', '22', '43', '75', '46', '47', '42', '1', '53', '59', '72', '34']"
gka_24,huffner,1,1,38,"['14', '2', '24', '38', '39', '4', '40', '49', '51', '55', '69', '79', '80', '83', '67', '58', '35', '36', '70', '19', '25', '73', '64', '62', '86', '76', '82', '22', '43', '75', '46', '47', '42', '1', '53', '59', '72', '34']"
gka_24,huffner,10,10,38,"['14', '2', '24', '35', '38', '39', '4', '40', '49', '51', '55', '58', '67', '69', '79', '80', '83', '36', '70', '19', '25', '73', '64', '62', '86', '76', '82', '22', '43', '75', '46', '47', '42', '1', '53', '59', '72', '34']"
gka_25,huffner,0.01,0.01,46,"['13', '15', '31', '32', '46', '47', '49', '59', '68', '74', '9', '34', '83', '11', '88', '5', '2', '20', '6', '12', '17', '61', '53', '52', '84', '67', '81', '14', '4', '98', '42', '96', '35', '97', '48', '50', '60', '19', '65', '87', '57', '21', '93', '44', '0', '85']"
gka_25,huffner,0.1,0.1,44,"['12', '17', '27', '31', '32', '45', '49', '50', '6', '74', '79', '82', '94', '1', '9', '53', '2', '21', '60', '11', '18', '63', '57', '55', '83', '71', '81', '16', '4', '85', '42', '98', '35', '0', '5', '54', '61', '19', '65', '87', '59', '26', '96', '44']"
gka_25,huffner,1,1,44,"['1', '12', '17', '27', '31', '32', '45', '49', '50', '53', '6', '74', '79', '82', '9', '94', '2', '21', '60', '11', '18', '63', '57', '55', '83', '71', '81', '16', '4', '85', '42', '98', '35', '0', '5', '54', '61', '19', '65', '87', '59', '26', '96', '44']"
gka_25,huffner,10,10,44,"['1', '12', '17', '2', '21', '27', '31', '32', '45', '49', '50', '53', '6', '60', '74', '79', '82', '9', '94', '11', '18', '63', '57', '55', '83', '71', '81', '16', '4', '85', '42', '98', '35', '0', '5', '54', '61', '19', '65', '87', '59', '26', '96', '44']"
gka_26,huffner,0.01,0.01,44,"['14', '23', '38', '40', '55', '56', '58', '68', '76', '78', '95', '41', '81', '12', '93', '59', '3', '34', '7', '13', '28', '71', '64', '63', '87', '74', '79', '2', '45', '9', '48', '99', '43', '10', '57', '6', '70', '29', '72', '92', '65', '37', '97', '54']"
gka_26,huffner,0.1,0.1,44,"['14', '23', '38', '40', '41', '55', '56', '58', '68', '76', '78', '81', '95', '12', '93', '59', '3', '34', '7', '13', '28', '71', '64', '63', '87', '74', '79', '2', '45', '9', '48', '99', '43', '10', '57', '6', '70', '29', '72', '92', '65', '37', '97', '54']"
gka_26,huffner,1,1,44,"['12', '14', '23', '38', '40', '41', '55', '56', '58', '68', '76', '78', '81', '93', '95', '59', '3', '34', '7', '13', '28', '71', '64', '63', '87', '74', '79', '2', '45', '9', '48', '99', '43', '10', '57', '6', '70', '29', '72', '92', '65', '37', '97', '54']"
gka_26,huffner,10,10,44,"['12', '13', '14', '23', '3', '34', '38', '40', '41', '55', '56', '58', '59', '68', '7', '76', '78', '81', '93', '95', '28', '71', '64', '63', '87', '74', '79', '2', '45', '9', '48', '99', '43', '10', '57', '6', '70', '29', '72', '92', '65', '37', '97', '54']"
gka_27,huffner,0.01,0.01,64,"['15', '28', '29', '31', '37', '38', '50', '57', '58', '70', '86', '89', '94', '82', '68', '87', '20', '22', '51', '13', '88', '54', '83', '45', '61', '85', '59', '16', '9', '75', '8', '98', '33', '99', '39', '42', '53', '2', '55', '84', '47', '25', '71', '81', '10', '63', '17', '35', '36', '11', '46', '66', '92', '6', '93', '19', '97', '34', '56', '41', '78', '40', '73', '74']"
gka_27,huffner,0.1,0.1,63,"['13', '21', '23', '25', '30', '31', '46', '53', '54', '63', '65', '76', '84', '89', '94', '85', '19', '2', '47', '12', '87', '49', '78', '42', '58', '81', '56', '14', '9', '72', '74', '99', '26', '68', '32', '41', '48', '17', '51', '8', '45', '20', '66', '75', '10', '6', '15', '29', '3', '11', '44', '60', '91', '57', '92', '16', '97', '28', '52', '37', '73', '36', '67']"
gka_27,huffner,1,1,63,"['13', '19', '21', '23', '25', '30', '31', '46', '53', '54', '63', '65', '76', '84', '85', '89', '94', '2', '47', '12', '87', '49', '78', '42', '58', '81', '56', '14', '9', '72', '74', '99', '26', '68', '32', '41', '48', '17', '51', '8', '45', '20', '66', '75', '10', '6', '15', '29', '3', '11', '44', '60', '91', '57', '92', '16', '97', '28', '52', '37', '73', '36', '67']"
gka_27,huffner,10,10,63,"['12', '13', '19', '2', '21', '23', '25', '30', '31', '46', '47', '49', '53', '54', '63', '65', '76', '84', '85', '87', '89', '94', '78', '42', '58', '81', '56', '14', '9', '72', '74', '99', '26', '68', '32', '41', '48', '17', '51', '8', '45', '20', '66', '75', '10', '6', '15', '29', '3', '11', '44', '60', '91', '57', '92', '16', '97', '28', '52', '37', '73', '36', '67']"
gka_28,huffner,0.01,0.01,73,"['23', '25', '31', '32', '42', '51', '52', '6', '72', '75', '81', '95', '97', '68', '58', '73', '19', '2', '93', '10', '9', '47', '69', '4', '55', '71', '53', '15', '99', '64', '66', '85', '28', '92', '33', '39', '98', '18', '48', '70', '41', '21', '60', '67', '0', '56', '16', '3', '30', '1', '40', '57', '77', '54', '79', '17', '82', '29', '50', '36', '65', '34', '62', '63', '74', '91', '96', '43', '24', '87', '12', '45', '76']"
gka_28,huffner,0.1,0.1,72,"['2', '21', '24', '28', '32', '34', '45', '53', '54', '60', '62', '7', '73', '74', '76', '81', '95', '97', '93', '12', '9', '50', '70', '41', '57', '72', '55', '15', '77', '66', '68', '85', '29', '92', '36', '40', '99', '19', '51', '71', '43', '22', '63', '69', '0', '58', '17', '30', '31', '1', '42', '6', '79', '56', '8', '18', '82', '3', '52', '4', '67', '39', '64', '65', '75', '91', '96', '47', '25', '87', '14', '48']"
gka_28,huffner,1,1,72,"['12', '2', '21', '24', '28', '32', '34', '45', '50', '53', '54', '60', '62', '7', '73', '74', '76', '81', '9', '93', '95', '97', '70', '41', '57', '72', '55', '15', '77', '66', '68', '85', '29', '92', '36', '40', '99', '19', '51', '71', '43', '22', '63', '69', '0', '58', '17', '30', '31', '1', '42', '6', '79', '56', '8', '18', '82', '3', '52', '4', '67', '39', '64', '65', '75', '91', '96', '47', '25', '87', '14', '48']"
gka_28,huffner,10,10,72,"['12', '2', '21', '24', '28', '32', '34', '41', '45', '50', '53', '54', '55', '57', '60', '62', '7', '70', '72', '73', '74', '76', '81', '9', '93', '95', '97', '15', '77', '66', '68', '85', '29', '92', '36', '40', '99', '19', '51', '71', '43', '22', '63', '69', '0', '58', '17', '30', '31', '1', '42', '6', '79', '56', '8', '18', '82', '3', '52', '4', '67', '39', '64', '65', '75', '91', '96', '47', '25', '87', '14', '48']"
gka_29,huffner,0.01,0.01,77,"['22', '24', '29', '3', '40', '48', '49', '55', '58', '66', '70', '74', '78', '85', '88', '71', '19', '2', '84', '12', '92', '43', '67', '38', '51', '7', '5', '14', '91', '62', '64', '8', '25', '83', '32', '99', '90', '17', '44', '69', '97', '21', '59', '65', '1', '53', '15', '27', '28', '10', '39', '54', '76', '50', '77', '16', '79', '26', '45', '34', '63', '33', '6', '61', '72', '82', '86', '41', '93', '80', '13', '42', '75', '81', '23', '4', '35']"
gka_29,huffner,0.1,0.1,77,"['12', '19', '2', '22', '24', '29', '3', '40', '43', '48', '49', '55', '58', '66', '70', '71', '74', '78', '84', '85', '88', '92', '67', '38', '51', '7', '5', '14', '91', '62', '64', '8', '25', '83', '32', '99', '90', '17', '44', '69', '97', '21', '59', '65', '1', '53', '15', '27', '28', '10', '39', '54', '76', '50', '77', '16', '79', '26', '45', '34', '63', '33', '6', '61', '72', '82', '86', '41', '93', '80', '13', '42', '75', '81', '23', '4', '35']"
gka_29,huffner,1,1,77,"['12', '14', '19', '2', '22', '24', '29', '3', '38', '40', '43', '48', '49', '5', '51', '55', '58', '66', '67', '7', '70', '71', '74', '78', '84', '85', '88', '91', '92', '62', '64', '8', '25', '83', '32', '99', '90', '17', '44', '69', '97', '21', '59', '65', '1', '53', '15', '27', '28', '10', '39', '54', '76', '50', '77', '16', '79', '26', '45', '34', '63', '33', '6', '61', '72', '82', '86', '41', '93', '80', '13', '42', '75', '81', '23', '4', '35']"
gka_29,huffner,10,10,77,"['12', '14', '17', '19', '2', '22', '24', '25', '29', '3', '32', '38', '40', '43', '48', '49', '5', '51', '55', '58', '62', '64', '66', '67', '7', '70', '71', '74', '78', '8', '83', '84', '85', '88', '90', '91', '92', '99', '44', '69', '97', '21', '59', '65', '1', '53', '15', '27', '28', '10', '39', '54', '76', '50', '77', '16', '79', '26', '45', '34', '63', '33', '6', '61', '72', '82', '86', '41', '93', '80', '13', '42', '75', '81', '23', '4', '35']"
gka_30,huffner,0.01,0.01,84,"['18', '20', '22', '24', '3', '30', '38', '43', '51', '60', '64', '65', '68', '8', '81', '92', '97', '98', '79', '10', '86', '40', '61', '35', '48', '63', '46', '14', '85', '57', '59', '73', '26', '78', '31', '9', '82', '17', '41', '62', '89', '21', '54', '6', '0', '49', '15', '28', '29', '1', '36', '50', '7', '47', '70', '16', '72', '27', '42', '33', '93', '32', '95', '56', '66', '76', '80', '96', '87', '74', '12', '4', '69', '91', '23', '37', '34', '75', '71', '58', '55', '39', '53', '45']"
gka_30,huffner,0.1,0.1,83,"['10', '17', '18', '21', '23', '28', '29', '33', '36', '39', '42', '43', '50', '6', '60', '64', '66', '7', '80', '81', '85', '88', '93', '98', '47', '62', '45', '13', '87', '56', '58', '75', '24', '8', '3', '91', '86', '16', '4', '61', '9', '20', '53', '59', '0', '48', '14', '26', '27', '1', '34', '49', '71', '46', '72', '15', '74', '25', '40', '31', '95', '30', '96', '55', '68', '79', '82', '97', '89', '76', '12', '38', '70', '92', '22', '35', '32', '78', '73', '57', '54', '37', '51']"
gka_30,huffner,1,1,83,"['10', '13', '17', '18', '21', '23', '24', '28', '29', '33', '36', '39', '42', '43', '45', '47', '50', '56', '58', '6', '60', '62', '64', '66', '7', '75', '80', '81', '85', '87', '88', '93', '98', '8', '3', '91', '86', '16', '4', '61', '9', '20', '53', '59', '0', '48', '14', '26', '27', '1', '34', '49', '71', '46', '72', '15', '74', '25', '40', '31', '95', '30', '96', '55', '68', '79', '82', '97', '89', '76', '12', '38', '70', '92', '22', '35', '32', '78', '73', '57', '54', '37', '51']"
gka_30,huffner,10,10,83,"['0', '10', '13', '16', '17', '18', '20', '21', '23', '24', '28', '29', '3', '33', '36', '39', '4', '42', '43', '45', '47', '50', '53', '56', '58', '59', '6', '60', '61', '62', '64', '66', '7', '75', '8', '80', '81', '85', '86', '87', '88', '9', '91', '93', '98', '48', '14', '26', '27', '1', '34', '49', '71', '46', '72', '15', '74', '25', '40', '31', '95', '30', '96', '55', '68', '79', '82', '97', '89', '76', '12', '38', '70', '92', '22', '35', '32', '78', '73', '57', '54', '37', '51']"
gka_31,huffner,0.01,0.01,87,"['11', '19', '20', '22', '24', '29', '3', '39', '45', '51', '61', '65', '66', '68', '8', '80', '82', '85', '90', '94', '95', '41', '62', '35', '49', '64', '47', '13', '84', '58', '6', '74', '25', '78', '30', '89', '83', '17', '43', '63', '87', '21', '54', '60', '1', '5', '15', '27', '28', '10', '36', '50', '7', '48', '99', '16', '72', '26', '96', '33', '91', '31', '92', '57', '67', '77', '81', '93', '86', '75', '12', '40', '69', '9', '97', '38', '34', '76', '71', '59', '55', '4', '52', '46', '44', '23', '70']"
gka_31,huffner,0.1,0.1,87,"['11', '13', '19', '20', '22', '24', '29', '3', '35', '39', '41', '45', '47', '49', '51', '58', '6', '61', '62', '64', '65', '66', '68', '74', '8', '80', '82', '84', '85', '90', '94', '95', '25', '78', '30', '89', '83', '17', '43', '63', '87', '21', '54', '60', '1', '5', '15', '27', '28', '10', '36', '50', '7', '48', '99', '16', '72', '26', '96', '33', '91', '31', '92', '57', '67', '77', '81', '93', '86', '75', '12', '40', '69', '9', '97', '38', '34', '76', '71', '59', '55', '4', '52', '46', '44', '23', '70']"
gka_31,huffner,1,1,86,"['11', '13', '16', '19', '2', '21', '24', '25', '30', '33', '34', '38', '40', '44', '45', '47', '49', '50', '53', '59', '60', '62', '63', '64', '65', '66', '67', '69', '75', '8', '80', '82', '85', '86', '87', '88', '9', '90', '92', '96', '97', '20', '55', '61', '0', '51', '14', '28', '3', '1', '39', '52', '70', '5', '71', '15', '74', '26', '98', '36', '93', '35', '94', '58', '68', '78', '83', '95', '89', '76', '12', '43', '7', '91', '99', '4', '37', '77', '72', '6', '57', '41', '54', '48', '46', '22']"
gka_31,huffner,10,10,86,"['0', '1', '11', '13', '14', '15', '16', '19', '2', '20', '21', '24', '25', '26', '28', '3', '30', '33', '34', '38', '39', '40', '44', '45', '47', '49', '5', '50', '51', '52', '53', '55', '59', '60', '61', '62', '63', '64', '65', '66', '67', '69', '70', '71', '74', '75', '8', '80', '82', '85', '86', '87', '88', '9', '90', '92', '96', '97', '98', '36', '93', '35', '94', '58', '68', '78', '83', '95', '89', '76', '12', '43', '7', '91', '99', '4', '37', '77', '72', '6', '57', '41', '54', '48', '46', '22']"
