Dataset,Timeout,C - Size,HE - Size,C - Time,HE - Time
aa45,1.0,20,22,0.1,0.0
aa45,10.0,20,21,0.1,4.5
aa46,0.01,37,18,0.0,0.0
aa46,0.1,13,14,0.0,0.1
aa46,1.0,13,14,0.0,0.1
aa46,10.0,13,14,0.0,0.1
aa47,0.01,15,14,0.0,0.0
aa47,0.1,13,14,0.1,0.0
aa47,1.0,13,13,0.1,0.2
aa47,10.0,13,13,0.1,0.2
aa48,0.01,21,19,0.0,0.0
aa48,0.1,17,19,0.1,0.0
aa48,1.0,17,17,0.1,0.6
aa48,10.0,17,17,0.1,0.6
aa49,0.01,0,0,0.0,0.0
aa49,0.1,0,0,0.0,0.0
aa49,1.0,0,0,0.0,0.0
aa49,10.0,0,0,0.0,0.0
aa50,0.01,27,21,0.0,0.0
aa50,0.1,19,21,0.1,0.0
aa50,1.0,18,20,0.1,0.3
aa50,10.0,18,19,0.1,4.4
aa51,0.01,16,13,0.0,0.0
aa51,0.1,11,11,0.0,0.0
aa51,1.0,11,11,0.0,0.0
aa51,10.0,11,11,0.0,0.0
aa52,0.01,15,14,0.0,0.0
aa52,0.1,12,12,0.1,0.1
aa52,1.0,12,12,0.1,0.1
aa52,10.0,12,12,0.1,0.1
aa53,0.01,18,15,0.0,0.0
aa53,0.1,13,14,0.1,0.1
aa53,1.0,12,14,0.1,0.1
aa53,10.0,12,13,0.1,2.3
aa54,0.01,21,14,0.0,0.0
aa54,0.1,14,14,0.1,0.0
aa54,1.0,12,13,0.1,0.6
aa54,10.0,12,12,0.1,1.6
bqp100_1,0.01,46,43,0.0,0.0
bqp100_1,0.1,46,43,0.1,0.0
bqp100_1,1.0,43,43,1.0,0.0
bqp100_1,10.0,42,43,10.0,0.0
bqp100_10,0.01,50,46,0.0,0.0
bqp100_10,0.1,50,45,0.1,0.1
bqp100_10,1.0,46,45,1.0,0.1
bqp100_10,10.0,45,45,10.0,0.1
bqp100_2,0.01,47,44,0.0,0.0
bqp100_2,0.1,47,43,0.1,0.0
bqp100_2,1.0,43,43,1.0,0.0
bqp100_2,10.0,42,43,10.0,0.0
bqp100_3,0.01,49,46,0.0,0.0
bqp100_3,0.1,49,45,0.1,0.0
bqp100_3,1.0,46,44,1.0,0.3
bqp100_3,10.0,42,44,10.0,0.3
bqp100_4,0.01,45,43,0.0,0.0
bqp100_4,0.1,45,42,0.1,0.0
bqp100_4,1.0,42,42,1.0,0.0
bqp100_4,10.0,42,42,10.0,0.0
bqp100_5,0.01,47,45,0.0,0.0
bqp100_5,0.1,47,44,0.1,0.0
bqp100_5,1.0,45,43,1.0,0.1
bqp100_5,10.0,43,42,10.0,2.5
bqp100_6,0.01,48,45,0.0,0.0
bqp100_6,0.1,48,45,0.1,0.0
bqp100_6,1.0,45,45,1.0,0.0
bqp100_6,10.0,44,45,10.0,0.0
bqp100_7,0.01,47,45,0.0,0.0
bqp100_7,0.1,47,44,0.1,0.0
bqp100_7,1.0,43,44,1.0,0.0
bqp100_7,10.0,42,44,10.0,0.0
bqp100_8,0.01,48,47,0.0,0.0
bqp100_8,0.1,48,45,0.1,0.0
bqp100_8,1.0,47,45,1.0,0.0
bqp100_8,10.0,43,45,10.0,0.0
bqp100_9,0.01,49,46,0.0,0.0
bqp100_9,0.1,49,45,0.1,0.0
bqp100_9,1.0,46,45,1.0,0.0
bqp100_9,10.0,44,45,10.0,0.0
bqp50_1,0.01,15,12,0.0,0.0
bqp50_1,0.1,12,11,0.1,0.0
bqp50_1,1.0,11,11,0.1,0.0
bqp50_1,10.0,11,11,0.1,0.0
bqp50_10,0.01,13,12,0.0,0.0
bqp50_10,0.1,11,12,0.1,0.0
bqp50_10,1.0,11,11,0.1,0.4
bqp50_10,10.0,11,11,0.1,0.4
bqp50_2,0.01,13,12,0.0,0.0
bqp50_2,0.1,11,12,0.0,0.0
bqp50_2,1.0,11,11,0.0,0.2
bqp50_2,10.0,11,11,0.0,0.2
bqp50_3,0.01,16,15,0.0,0.0
bqp50_3,0.1,14,14,0.1,0.0
bqp50_3,1.0,14,14,0.1,0.0
bqp50_3,10.0,14,14,0.1,0.0
bqp50_4,0.01,14,12,0.0,0.0
bqp50_4,0.1,11,11,0.1,0.0
bqp50_4,1.0,11,11,0.1,0.0
bqp50_4,10.0,11,11,0.1,0.0
bqp50_5,0.01,16,13,0.0,0.0
bqp50_5,0.1,15,13,0.1,0.0
bqp50_5,1.0,13,13,0.1,0.0
bqp50_5,10.0,13,13,0.1,0.0
bqp50_6,0.01,14,10,0.0,0.0
bqp50_6,0.1,9,10,0.1,0.0
bqp50_6,1.0,9,9,0.1,0.1
bqp50_6,10.0,9,9,0.1,0.1
bqp50_7,0.01,12,10,0.0,0.0
bqp50_7,0.1,9,9,0.0,0.0
bqp50_7,1.0,9,9,0.0,0.0
bqp50_7,10.0,9,9,0.0,0.0
bqp50_8,0.01,20,15,0.0,0.0
bqp50_8,0.1,17,15,0.1,0.0
bqp50_8,1.0,14,15,0.1,0.0
bqp50_8,10.0,14,14,0.1,1.7
bqp50_9,0.01,16,13,0.0,0.0
bqp50_9,0.1,12,13,0.1,0.0
bqp50_9,1.0,12,13,0.1,0.0
bqp50_9,10.0,12,12,0.1,4.0
gka_1,0.01,12,9,0.0,0.0
gka_1,0.1,9,9,0.0,0.0
gka_1,1.0,9,9,0.0,0.0
gka_1,10.0,9,9,0.0,0.0
gka_10,0.01,8,8,0.0,0.0
gka_10,0.1,8,8,0.0,0.0
gka_10,1.0,8,8,0.0,0.0
gka_10,10.0,8,8,0.0,0.0
gka_11,0.01,10,10,0.0,0.0
gka_11,0.1,10,10,0.0,0.0
gka_11,1.0,10,10,0.0,0.0
gka_11,10.0,10,10,0.0,0.0
gka_12,0.01,20,20,0.0,0.0
gka_12,0.1,20,20,0.0,0.0
gka_12,1.0,20,20,0.0,0.0
gka_12,10.0,20,20,0.0,0.0
gka_13,0.01,16,16,0.0,0.0
gka_13,0.1,16,16,0.0,0.0
gka_13,1.0,16,16,0.0,0.0
gka_13,10.0,16,16,0.0,0.0
gka_14,0.01,22,22,0.0,0.0
gka_14,0.1,22,22,0.0,0.0
gka_14,1.0,22,22,0.0,0.0
gka_14,10.0,22,22,0.0,0.0
gka_15,0.01,0,0,0.0,0.0
gka_15,0.1,0,0,0.0,0.0
gka_15,1.0,0,0,0.0,0.0
gka_15,10.0,0,0,0.0,0.0
gka_16,0.01,0,0,0.0,0.0
gka_16,0.1,0,0,0.0,0.0
gka_16,1.0,0,0,0.0,0.0
gka_16,10.0,0,0,0.0,0.0
gka_17,0.01,0,0,0.0,0.0
gka_17,0.1,0,0,0.0,0.0
gka_17,1.0,0,0,0.0,0.0
gka_17,10.0,0,0,0.0,0.0
gka_18,0.01,2,2,0.0,0.0
gka_18,0.1,2,2,0.0,0.0
gka_18,1.0,2,2,0.0,0.0
gka_18,10.0,2,2,0.0,0.0
gka_19,0.01,32,31,0.0,0.0
gka_19,0.1,31,31,0.0,0.0
gka_19,1.0,31,31,0.0,0.0
gka_19,10.0,31,31,0.0,0.0
gka_2,0.01,19,16,0.0,0.0
gka_2,0.1,17,16,0.1,0.0
gka_2,1.0,16,16,0.2,0.0
gka_2,10.0,16,16,0.2,0.0
gka_20,0.01,40,39,0.0,0.0
gka_20,0.1,39,39,0.1,0.0
gka_20,1.0,39,39,0.2,0.0
gka_20,10.0,39,39,0.2,0.0
gka_21,0.01,41,41,0.0,0.0
gka_21,0.1,41,41,0.1,0.0
gka_21,1.0,40,41,0.3,0.0
gka_21,10.0,40,40,0.3,2.4
gka_22,0.01,49,46,0.0,0.0
gka_22,0.1,46,44,0.1,0.1
gka_22,1.0,43,44,1.0,0.1
gka_22,10.0,43,43,2.9,7.4
gka_23,0.01,52,48,0.0,0.0
gka_23,0.1,51,48,0.1,0.0
gka_23,1.0,47,47,1.0,0.2
gka_23,10.0,46,46,10.0,1.4
gka_24,0.01,44,39,0.0,0.0
gka_24,0.1,43,38,0.1,0.1
gka_24,1.0,39,38,1.0,0.1
gka_24,10.0,37,37,10.0,4.5
gka_25,0.01,47,45,0.0,0.0
gka_25,0.1,47,44,0.1,0.0
gka_25,1.0,45,44,1.0,0.0
gka_25,10.0,43,44,10.0,0.0
gka_26,0.01,50,44,0.0,0.0
gka_26,0.1,50,44,0.1,0.0
