Dataset,Preprocessing,Time,Size,Certificate
gka_2,0,3.3,16,"['10', '11', '12', '14', '22', '23', '28', '29', '31', '32', '37', '38', '42', '47', '48', '6']"
gka_2,1,2.2,16,"['12', '19', '2', '28', '3', '30', '31', '33', '36', '38', '40', '41', '44', '47', '48', '5']"
gka_2,2,1.8,16,"['12', '19', '2', '28', '3', '30', '31', '33', '36', '38', '40', '41', '44', '47', '48', '5']"
gka_2,0,4.3,16,"['10', '14', '28', '31', '33', '36', '37', '38', '40', '41', '44', '45', '47', '51', '6', '7']"
gka_2,1,2.1,16,"['12', '19', '2', '28', '3', '30', '31', '33', '36', '38', '40', '41', '44', '47', '48', '5']"
gka_2,2,1.9,16,"['12', '19', '2', '28', '3', '30', '31', '33', '36', '38', '40', '41', '44', '47', '48', '5']"
gka_3,0,120,23,"['1', '15', '19', '23', '24', '26', '29', '3', '33', '34', '43', '45', '46', '49', '52', '55', '59', '60', '61', '64', '66', '7', '9']"
gka_3,1,120,24,"['1', '16', '18', '19', '22', '24', '29', '38', '41', '43', '45', '46', '47', '51', '54', '56', '57', '59', '61', '64', '7', '52', '49', '35']"
gka_3,2,120,23,"['1', '16', '18', '19', '22', '24', '29', '35', '38', '43', '45', '46', '47', '52', '54', '56', '57', '59', '60', '61', '67', '7', '51']"
gka_3,0,120,24,"['0', '10', '14', '18', '20', '23', '24', '26', '27', '3', '30', '36', '38', '46', '47', '49', '54', '55', '67', '9', '69', '7', '8', '9']"
gka_3,1,120,23,"['10', '11', '16', '18', '20', '26', '27', '29', '35', '36', '38', '43', '46', '47', '48', '49', '54', '57', '59', '61', '64', '69', '22']"
gka_3,2,120,23,"['0', '11', '16', '18', '22', '27', '29', '35', '36', '38', '43', '46', '47', '48', '49', '57', '59', '6', '61', '64', '66', '69', '20']"
gka_3,0,120,23,"['10', '11', '15', '19', '20', '23', '25', '26', '29', '3', '38', '46', '47', '49', '52', '54', '61', '64', '65', '67', '8', '9', '9']"
gka_3,1,120,23,"['1', '10', '11', '15', '23', '24', '27', '29', '3', '38', '41', '43', '45', '46', '47', '49', '52', '54', '55', '57', '59', '64', '69']"
gka_3,2,120,23,"['1', '10', '11', '13', '16', '19', '22', '24', '29', '35', '43', '45', '46', '47', '48', '52', '56', '57', '60', '61', '64', '66', '69']"
