Dataset,Timeout,Size,Time,Certificate
bqp100_1.edgelist,100,43,3,"[1,2,5,6,7,12,13,15,17,18,21,22,23,24,26,27,29,32,34,36,39,40,45,47,52,56,57,59,60,69,71,72,74,76,78,79,80,88,89,92,95,98,99]"
bqp100_2.edgelist,100,43,29,"[2,3,7,11,12,13,14,16,21,22,26,27,28,29,31,34,40,41,45,47,48,51,54,56,59,63,66,68,69,71,72,73,74,75,76,85,86,87,93,94,96,98,99]"
bqp100_3.edgelist,100,45,17,"[1,6,7,9,10,13,15,18,19,20,21,22,23,25,26,28,33,34,36,39,40,46,48,50,52,54,57,58,59,60,63,65,70,73,74,77,81,82,86,88,91,93,97,98,99]"
bqp100_4.edgelist,100,42,16,"[3,4,6,8,10,11,14,20,21,22,23,24,27,32,34,35,36,37,42,43,44,45,46,48,54,61,64,66,68,69,70,71,73,75,79,81,85,86,92,94,97,99]"
bqp100_5.edgelist,100,44,13,"[0,1,2,4,8,9,11,15,16,18,20,21,25,31,32,33,34,35,38,40,41,42,44,45,48,50,51,52,55,62,63,66,67,68,69,71,72,75,77,79,84,85,86,87]"
bqp100_6.edgelist,100,45,3,"[0,2,8,9,12,15,16,17,21,24,26,29,30,31,33,34,39,41,45,46,48,50,53,55,56,62,64,65,67,68,70,72,81,82,83,84,85,86,88,90,91,95,97,98,99]"
bqp100_7.edgelist,100,44,27,"[0,1,2,4,5,7,8,9,12,13,16,17,18,20,21,22,23,27,28,37,38,40,44,51,52,57,60,61,65,66,69,75,80,84,86,87,90,91,93,94,95,96,97,99]"
bqp100_8.edgelist,100,45,17,"[5,6,9,11,13,14,15,18,21,22,24,25,27,29,33,34,36,39,40,41,45,48,50,54,56,58,61,65,68,70,71,72,74,75,77,79,80,81,83,90,92,93,94,95,99]"
bqp100_9.edgelist,100,45,13,"[4,5,7,10,11,12,13,14,15,18,19,24,27,30,32,33,34,35,43,45,47,48,50,53,54,57,60,61,62,64,68,69,73,74,75,79,80,81,83,87,93,95,96,98,99]"
bqp100_10.edgelist,100,45,50,"[4,6,11,12,16,17,18,19,20,21,28,32,33,36,39,40,42,43,45,46,49,50,54,55,57,58,62,63,64,65,66,67,71,74,75,78,79,80,81,86,89,90,91,92,99]"
aa10.edgelist,1000,6,36,"[0,1,14,17,19,24]"
aa11.edgelist,1000,11,951,"[1,2,6,7,14,15,17,21,24,27,29]"
aa13.edgelist,1000,14,381,"[0,3,4,21,22,23,24,26,28,32,35,36,40,41]"
aa14.edgelist,1000,19,76,"[5,6,7,8,10,13,14,15,16,22,26,27,29,33,35,36,37,38,41]"
aa15.edgelist,1000,6,98,"[3,4,8,9,10,28]"
aa16.edgelist,1000,0,0,[]
aa17.edgelist,1000,26,918,"[2,6,7,8,10,13,15,16,17,18,19,20,23,24,26,27,29,30,32,33,37,38,40,48,52,53]"
aa18.edgelist,1000,14,991,"[1,2,8,11,14,21,24,29,32,35,41,44,45,46]"
aa19.edgelist,1000,21,51,"[4,9,10,20,21,23,24,25,26,27,31,32,35,36,37,38,41,47,49,56,60]"
aa20.edgelist,1000,22,85,"[5,9,14,21,25,26,28,29,30,35,36,39,40,41,43,44,47,50,52,53,55,195]"
aa21.edgelist,1000,0,0,[]
aa22.edgelist,1000,17,5,"[0,1,2,7,11,13,14,21,22,23,27,28,31,32,36,46,119]"
aa23.edgelist,1000,19,148,"[6,7,9,11,13,16,18,21,23,25,29,32,33,38,40,42,44,51,73]"
aa24.edgelist,1000,24,324,"[2,3,9,12,13,20,24,28,29,30,31,32,33,35,36,37,49,55,61,63,69,70,76,99]"
aa25.edgelist,1000,0,0,[]
aa26.edgelist,1000,12,11,"[0,1,5,19,21,22,25,29,30,31,33,38]"
aa27.edgelist,1000,13,521,"[0,9,15,16,17,18,20,23,27,28,30,31,40]"
aa28.edgelist,1000,30,137,"[2,6,9,11,13,14,15,16,17,18,24,25,28,30,31,32,36,37,38,39,41,45,51,52,54,56,58,59,60,64]"
aa29.edgelist,1000,22,18,"[6,7,10,15,17,20,21,25,29,33,36,38,40,42,43,45,50,54,55,58,66,68]"
aa30.edgelist,1000,4,5,"[4,7,9,11]"
aa31.edgelist,1000,0,0,[]
aa32.edgelist,1000,32,36,"[0,1,4,6,7,9,11,14,16,19,20,21,23,24,25,26,27,30,32,33,35,36,37,39,50,52,55,56,57,59,60,118]"
aa33.edgelist,1000,4,0,"[24,32,33,35]"
aa34.edgelist,1000,13,33,"[4,8,9,10,11,14,16,19,20,28,31,35,36]"
aa35.edgelist,1000,10,4,"[3,11,13,14,16,20,21,30,32,37]"
aa36.edgelist,1000,7,2,"[8,10,17,18,29,31,32]"
aa37.edgelist,1000,4,13,"[1,5,20,28]"
aa38.edgelist,1000,31,91,"[0,13,14,18,19,21,22,23,25,26,29,35,38,39,40,44,47,48,49,50,51,52,53,56,59,61,62,63,64,65,66]"
aa39.edgelist,1000,24,185,"[3,5,6,7,9,10,11,13,17,18,19,20,22,23,24,27,28,29,30,31,35,40,43,47]"
aa40.edgelist,1000,22,10,"[8,12,16,18,27,28,32,33,37,40,41,44,45,46,47,48,50,52,53,55,56,58]"
aa41.edgelist,1000,46,218,"[2,6,7,8,10,11,12,13,14,15,18,20,26,27,28,29,30,32,33,36,37,38,39,41,44,47,48,49,50,51,54,56,57,58,61,62,63,64,66,68,71,72,74,76,123,124]"
aa42.edgelist,1000,34,343,"[1,5,10,12,16,18,20,22,28,31,32,33,35,47,49,50,54,56,58,59,61,65,66,69,71,74,75,78,79,80,81,84,85,87]"
aa43.edgelist,1000,19,7,"[2,4,5,7,8,10,13,14,15,16,17,20,21,22,25,28,31,32,36]"
aa44.edgelist,1000,10,2,"[4,5,7,14,16,22,23,25,26,27]"
aa45.edgelist,1000,21,12,"[2,3,4,5,6,11,12,17,20,21,22,23,24,26,29,33,34,36,37,38,42]"
aa46.edgelist,1000,14,377,"[0,1,3,13,14,16,17,19,20,22,26,45,54,56]"
aa47.edgelist,1000,13,153,"[2,5,6,16,17,18,20,25,28,29,30,32,33]"
aa48.edgelist,1000,17,16,"[0,1,6,9,15,16,17,18,19,20,23,27,33,34,37,38,40]"
aa49.edgelist,1000,0,0,[]
aa50.edgelist,1000,20,333,"[5,7,11,17,18,22,23,24,25,26,29,31,33,35,39,49,52,53,58,59]"
aa51.edgelist,1000,11,45,"[3,6,7,9,11,17,24,35,41,42,43]"
aa52.edgelist,1000,12,92,"[0,1,3,11,12,17,18,21,24,25,29,30]"
aa53.edgelist,1000,14,50,"[5,12,16,17,26,27,31,33,34,35,36,37,38,42]"
aa54.edgelist,1000,13,632,"[12,15,16,18,19,20,21,26,29,31,35,40,42]"
j10.edgelist,1000,3,0,"[0,5,8]"
j11.edgelist,1000,5,0,"[17,18,19,24,25]"
j13.edgelist,1000,4,0,"[5,16,17,24]"
j14.edgelist,1000,3,0,"[0,1,4]"
j15.edgelist,1000,0,0,[]
j16.edgelist,1000,0,0,[]
j17.edgelist,1000,10,6,"[3,4,8,9,11,14,15,21,25,27]"
j18.edgelist,1000,9,868,"[2,3,6,9,11,18,42,45,46]"
j19.edgelist,1000,3,0,"[10,11,14]"
j20.edgelist,1000,0,0,[]
j21.edgelist,1000,2,0,"[0,4]"
j22.edgelist,1000,9,0,"[31,35,37,38,39,40,41,43,44]"
j23.edgelist,1000,19,0,"[1,2,3,5,8,9,14,15,20,21,26,30,31,33,38,39,41,42,49]"
j24.edgelist,1000,3,4,"[20,35,40]"
j25.edgelist,1000,0,0,[]
j26.edgelist,1000,6,3,"[3,20,25,26,27,28]"
j28.edgelist,1000,13,9,"[5,8,9,10,12,38,39,40,41,42,43,44,52]"
gka_1.edgelist,1000,9,1,"[3,4,7,9,15,22,23,38,43]"
gka_2.edgelist,1000,16,3,"[2,5,8,12,19,28,30,31,33,36,38,40,41,44,47,48]"
gka_3.edgelist,1000,24,9,"[1,7,11,14,16,19,22,24,29,35,38,41,43,45,47,49,52,54,56,57,59,61,64,65]"
gka_4.edgelist,1000,30,164,"[2,6,9,10,15,17,18,20,22,23,24,25,31,32,35,37,43,49,51,53,59,61,62,65,67,68,69,70,71,76]"
gka_5.edgelist,1000,22,4,"[0,1,4,5,11,16,18,21,22,25,26,34,35,38,40,42,43,44,46,47,48,49]"
gka_6.edgelist,1000,16,1,"[0,2,4,5,6,9,15,16,17,18,19,22,23,24,25,28]"
gka_7.edgelist,1000,18,0,"[0,1,2,5,6,8,9,12,13,14,15,21,22,23,24,27,28,29]"
gka_8.edgelist,1000,31,309,"[4,9,12,13,14,15,18,20,23,25,26,31,36,41,51,53,57,59,60,62,63,73,75,81,85,86,92,93,94,95,98]"
gka_9.edgelist,1000,2,0,"[4,5]"
gka_10.edgelist,1000,8,0,"[0,1,3,5,6,8,10,11]"
gka_11.edgelist,1000,10,0,"[0,2,3,4,5,7,8,9,10,12]"
gka_12.edgelist,1000,20,0,"[0,1,2,3,4,5,6,8,9,12,13,14,15,16,17,18,20,21,22,23]"
gka_13.edgelist,1000,16,0,"[1,2,4,5,6,7,8,9,12,13,14,15,16,17,18,19]"
gka_14.edgelist,1000,22,0,"[0,1,2,3,4,5,6,7,9,11,12,14,15,16,17,18,19,20,21,22,24,25]"
gka_15.edgelist,1000,0,0,[]
gka_16.edgelist,1000,0,0,[]
gka_17.edgelist,1000,0,0,[]
gka_18.edgelist,1000,2,0,"[1,3]"
gka_19.edgelist,1000,31,0,"[0,1,2,3,4,5,6,7,8,9,12,13,14,15,17,18,19,21,22,24,25,26,27,29,30,32,33,34,35,36,38]"
gka_20.edgelist,1000,39,0,"[0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,18,22,23,24,25,26,27,28,29,30,31,32,34,35,37,38,40,41,42,44,47,48,49]"
gka_21.edgelist,1000,41,9,"[0,1,2,3,4,5,6,7,8,9,10,11,17,18,20,21,22,24,25,27,28,29,30,31,33,34,35,39,41,42,43,47,48,49,50,52,53,54,55,56,59]"
gka_22.edgelist,1000,44,67,"[0,1,3,5,8,9,11,13,14,15,16,17,18,20,21,22,28,29,30,31,34,35,36,37,38,39,40,41,42,44,45,46,49,51,52,53,54,57,58,59,61,64,66,69]"
gka_23.edgelist,1000,47,169,"[3,4,6,8,10,11,12,14,16,18,22,26,27,28,30,31,33,34,35,37,39,42,43,44,45,47,49,50,51,54,55,56,57,58,60,63,64,65,67,68,69,70,71,74,75,78,79]"
gka_24.edgelist,1000,38,57,"[0,2,4,7,10,14,18,19,21,23,27,33,34,35,36,38,39,40,43,47,54,55,56,58,59,60,61,62,64,66,67,69,72,74,75,83,84,86]"
gka_25.edgelist,1000,44,16,"[0,1,2,4,5,6,9,11,12,16,17,18,19,21,26,27,31,32,35,42,44,45,49,50,53,54,55,57,59,60,61,63,65,71,74,79,81,82,83,85,87,94,96,98]"
gka_26.edgelist,1000,44,0,"[1,2,3,4,10,12,13,14,21,23,26,28,29,34,37,38,40,41,42,43,45,48,54,57,58,59,60,63,64,65,68,70,71,74,76,78,79,81,82,87,93,95,97,99]"
gka_27.edgelist,1000,63,117,"[0,2,6,8,9,10,11,15,16,17,19,21,22,25,26,28,29,33,34,35,36,37,40,41,42,44,46,47,48,49,50,51,53,54,55,56,57,58,59,61,63,66,68,70,72,73,74,75,76,78,81,82,83,85,88,89,90,92,93,94,97,98,99]"
gka_28.edgelist,1000,72,23,"[0,1,2,3,4,6,7,8,9,12,14,15,17,18,19,21,22,24,25,28,29,30,31,32,34,36,39,40,41,42,43,45,47,48,50,51,52,53,54,55,56,57,58,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,81,82,85,87,91,92,93,95,96,97,99]"
gka_29.edgelist,1000,77,3,"[1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,19,21,22,23,24,25,26,27,28,29,32,33,34,35,38,39,40,41,42,43,44,45,48,49,50,51,53,54,55,58,59,61,62,63,64,65,66,67,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85,86,88,90,91,92,93,97,99]"
gka_30.edgelist,1000,83,0,"[0,1,3,4,6,7,8,9,10,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,45,46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,62,64,66,68,70,71,72,73,74,75,76,78,79,80,81,82,85,86,87,88,89,91,92,93,95,96,97,98]"
gka_31.edgelist,1000,86,1,"[0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,19,20,21,22,24,25,26,28,30,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,80,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99]"
gka_32.edgelist,1000,89,1,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,54,55,56,58,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,91,92,93,94,95,96,97,98,99]"
gka_33.edgelist,1000,90,174,"[1,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,58,59,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,79,80,81,82,84,85,86,88,89,90,91,92,93,94,95,96,97,98,99]"
gka_34.edgelist,1000,93,1,"[0,1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,18,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,37,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,98,99]"
gka_35.edgelist,1000,0,0,[]
bqp50_1.edgelist,1000,11,40,"[2,5,13,14,32,33,37,42,45,47,49]"
bqp50_2.edgelist,1000,11,217,"[5,8,9,15,27,30,31,34,38,40,43]"
bqp50_3.edgelist,1000,14,15,"[0,8,9,10,22,30,31,36,39,40,41,43,44,46]"
bqp50_4.edgelist,1000,11,48,"[10,15,16,17,19,20,21,23,28,33,41]"
bqp50_5.edgelist,1000,13,0,"[1,4,17,18,27,28,29,32,33,35,46,47,49]"
bqp50_6.edgelist,1000,9,6,"[6,8,11,15,16,20,21,23,37]"
bqp50_7.edgelist,1000,9,11,"[1,5,13,16,23,28,39,45,47]"
bqp50_8.edgelist,1000,15,4,"[0,3,4,17,19,22,23,24,29,30,36,43,46,47,48]"
bqp50_9.edgelist,1000,13,2,"[10,14,15,17,20,23,27,29,33,34,37,40,41]"
bqp50_10.edgelist,1000,11,376,"[0,3,6,12,18,25,26,28,30,39,41]"
bqp100_1.edgelist,1000,43,3,"[1,2,5,6,7,12,13,15,17,18,21,22,23,24,26,27,29,32,34,36,39,40,45,47,52,56,57,59,60,69,71,72,74,76,78,79,80,88,89,92,95,98,99]"
bqp100_2.edgelist,1000,43,29,"[2,3,7,11,12,13,14,16,21,22,26,27,28,29,31,34,40,41,45,47,48,51,54,56,59,63,66,68,69,71,72,73,74,75,76,85,86,87,93,94,96,98,99]"
bqp100_3.edgelist,1000,44,293,"[0,1,6,8,9,10,18,19,20,22,23,25,26,31,33,34,36,38,39,40,43,46,47,50,52,53,56,57,58,59,60,63,65,71,73,74,76,77,81,82,86,89,97,98]"
bqp100_4.edgelist,1000,42,16,"[3,4,6,8,10,11,14,20,21,22,23,24,27,32,34,35,36,37,42,43,44,45,46,48,54,61,64,66,68,69,70,71,73,75,79,81,85,86,92,94,97,99]"
bqp100_5.edgelist,1000,43,133,"[0,1,2,3,11,12,14,15,18,21,22,23,26,27,31,32,33,34,38,40,42,45,48,50,51,52,54,55,61,68,70,71,75,76,77,78,79,81,84,86,87,91,94]"
bqp100_6.edgelist,1000,45,3,"[0,2,8,9,12,15,16,17,21,24,26,29,30,31,33,34,39,41,45,46,48,50,53,55,56,62,64,65,67,68,70,72,81,82,83,84,85,86,88,90,91,95,97,98,99]"
bqp100_7.edgelist,1000,44,27,"[0,1,2,4,5,7,8,9,12,13,16,17,18,20,21,22,23,27,28,37,38,40,44,51,52,57,60,61,65,66,69,75,80,84,86,87,90,91,93,94,95,96,97,99]"
bqp100_8.edgelist,1000,45,17,"[5,6,9,11,13,14,15,18,21,22,24,25,27,29,33,34,36,39,40,41,45,48,50,54,56,58,61,65,68,70,71,72,74,75,77,79,80,81,83,90,92,93,94,95,99]"
bqp100_9.edgelist,1000,45,13,"[4,5,7,10,11,12,13,14,15,18,19,24,27,30,32,33,34,35,43,45,47,48,50,53,54,57,60,61,62,64,68,69,73,74,75,79,80,81,83,87,93,95,96,98,99]"
bqp100_10.edgelist,1000,45,51,"[4,6,11,12,16,17,18,19,20,21,28,32,33,36,39,40,42,43,45,46,49,50,54,55,57,58,62,63,64,65,66,67,71,74,75,78,79,80,81,86,89,90,91,92,99]"
aa10.edgelist,10000,6,36,"[0,1,14,17,19,24]"
aa11.edgelist,10000,11,966,"[1,2,6,7,14,15,17,21,24,27,29]"
aa13.edgelist,10000,13,5805,"[4,15,17,20,22,24,26,28,31,35,36,41,42]"
aa14.edgelist,10000,19,74,"[5,6,7,8,10,13,14,15,16,22,26,27,29,33,35,36,37,38,41]"
aa15.edgelist,10000,6,98,"[3,4,8,9,10,28]"
aa16.edgelist,10000,0,0,[]
aa17.edgelist,10000,26,926,"[2,6,7,8,10,13,15,16,17,18,19,20,23,24,26,27,29,30,32,33,37,38,40,48,52,53]"
aa18.edgelist,10000,14,979,"[1,2,8,11,14,21,24,29,32,35,41,44,45,46]"
aa19.edgelist,10000,21,50,"[4,9,10,20,21,23,24,25,26,27,31,32,35,36,37,38,41,47,49,56,60]"
aa20.edgelist,10000,22,85,"[5,9,14,21,25,26,28,29,30,35,36,39,40,41,43,44,47,50,52,53,55,195]"
aa21.edgelist,10000,0,0,[]
aa22.edgelist,10000,17,5,"[0,1,2,7,11,13,14,21,22,23,27,28,31,32,36,46,119]"
aa23.edgelist,10000,19,154,"[6,7,9,11,13,16,18,21,23,25,29,32,33,38,40,42,44,51,73]"
aa24.edgelist,10000,24,323,"[2,3,9,12,13,20,24,28,29,30,31,32,33,35,36,37,49,55,61,63,69,70,76,99]"
aa25.edgelist,10000,0,0,[]
aa26.edgelist,10000,12,11,"[0,1,5,19,21,22,25,29,30,31,33,38]"
aa27.edgelist,10000,12,4585,"[0,6,9,18,20,22,23,27,28,30,31,43]"
aa28.edgelist,10000,30,138,"[2,6,9,11,13,14,15,16,17,18,24,25,28,30,31,32,36,37,38,39,41,45,51,52,54,56,58,59,60,64]"
aa29.edgelist,10000,22,18,"[6,7,10,15,17,20,21,25,29,33,36,38,40,42,43,45,50,54,55,58,66,68]"
aa30.edgelist,10000,4,5,"[4,7,9,11]"
aa31.edgelist,10000,0,0,[]
aa32.edgelist,10000,32,36,"[0,1,4,6,7,9,11,14,16,19,20,21,23,24,25,26,27,30,32,33,35,36,37,39,50,52,55,56,57,59,60,118]"
aa33.edgelist,10000,4,0,"[24,32,33,35]"
aa34.edgelist,10000,13,33,"[4,8,9,10,11,14,16,19,20,28,31,35,36]"
aa35.edgelist,10000,10,4,"[3,11,13,14,16,20,21,30,32,37]"
aa36.edgelist,10000,7,2,"[8,10,17,18,29,31,32]"
aa37.edgelist,10000,4,13,"[1,5,20,28]"
aa38.edgelist,10000,31,91,"[0,13,14,18,19,21,22,23,25,26,29,35,38,39,40,44,47,48,49,50,51,52,53,56,59,61,62,63,64,65,66]"
aa39.edgelist,10000,24,184,"[3,5,6,7,9,10,11,13,17,18,19,20,22,23,24,27,28,29,30,31,35,40,43,47]"
aa40.edgelist,10000,22,10,"[8,12,16,18,27,28,32,33,37,40,41,44,45,46,47,48,50,52,53,55,56,58]"
aa41.edgelist,10000,46,219,"[2,6,7,8,10,11,12,13,14,15,18,20,26,27,28,29,30,32,33,36,37,38,39,41,44,47,48,49,50,51,54,56,57,58,61,62,63,64,66,68,71,72,74,76,123,124]"
aa42.edgelist,10000,34,343,"[1,5,10,12,16,18,20,22,28,31,32,33,35,47,49,50,54,56,58,59,61,65,66,69,71,74,75,78,79,80,81,84,85,87]"
aa43.edgelist,10000,19,7,"[2,4,5,7,8,10,13,14,15,16,17,20,21,22,25,28,31,32,36]"
aa44.edgelist,10000,10,2,"[4,5,7,14,16,22,23,25,26,27]"
aa45.edgelist,10000,21,12,"[2,3,4,5,6,11,12,17,20,21,22,23,24,26,29,33,34,36,37,38,42]"
aa46.edgelist,10000,14,385,"[0,1,3,13,14,16,17,19,20,22,26,45,54,56]"
aa47.edgelist,10000,13,148,"[2,5,6,16,17,18,20,25,28,29,30,32,33]"
aa48.edgelist,10000,17,16,"[0,1,6,9,15,16,17,18,19,20,23,27,33,34,37,38,40]"
aa49.edgelist,10000,0,0,[]
aa50.edgelist,10000,19,4441,"[5,7,8,11,17,18,22,23,24,29,31,33,35,39,49,52,53,58,59]"
aa51.edgelist,10000,11,45,"[3,6,7,9,11,17,24,35,41,42,43]"
aa52.edgelist,10000,12,94,"[0,1,3,11,12,17,18,21,24,25,29,30]"
aa53.edgelist,10000,13,2275,"[5,12,17,24,26,27,31,33,34,35,38,40,42]"
aa54.edgelist,10000,12,1557,"[12,15,16,18,19,20,26,29,31,35,40,42]"
j10.edgelist,10000,3,0,"[0,5,8]"
j11.edgelist,10000,5,0,"[17,18,19,24,25]"
j13.edgelist,10000,4,0,"[5,16,17,24]"
j14.edgelist,10000,3,0,"[0,1,4]"
j15.edgelist,10000,0,0,[]
j16.edgelist,10000,0,0,[]
j17.edgelist,10000,10,6,"[3,4,8,9,11,14,15,21,25,27]"
j18.edgelist,10000,9,877,"[2,3,6,9,11,18,42,45,46]"
j19.edgelist,10000,3,0,"[10,11,14]"
j20.edgelist,10000,0,0,[]
j21.edgelist,10000,2,0,"[0,4]"
j22.edgelist,10000,9,0,"[31,35,37,38,39,40,41,43,44]"
j23.edgelist,10000,19,0,"[1,2,3,5,8,9,14,15,20,21,26,30,31,33,38,39,41,42,49]"
j24.edgelist,10000,3,4,"[20,35,40]"
j25.edgelist,10000,0,0,[]
j26.edgelist,10000,6,3,"[3,20,25,26,27,28]"
j28.edgelist,10000,13,9,"[5,8,9,10,12,38,39,40,41,42,43,44,52]"
gka_1.edgelist,10000,9,1,"[3,4,7,9,15,22,23,38,43]"
gka_2.edgelist,10000,16,3,"[2,5,8,12,19,28,30,31,33,36,38,40,41,44,47,48]"
gka_3.edgelist,10000,23,9877,"[1,3,11,12,15,18,19,22,24,29,35,43,45,46,47,48,52,56,57,59,60,61,69]"
gka_4.edgelist,10000,30,170,"[2,6,9,10,15,17,18,20,22,23,24,25,31,32,35,37,43,49,51,53,59,61,62,65,67,68,69,70,71,76]"
gka_5.edgelist,10000,22,4,"[0,1,4,5,11,16,18,21,22,25,26,34,35,38,40,42,43,44,46,47,48,49]"
gka_6.edgelist,10000,16,1,"[0,2,4,5,6,9,15,16,17,18,19,22,23,24,25,28]"
gka_7.edgelist,10000,18,0,"[0,1,2,5,6,8,9,12,13,14,15,21,22,23,24,27,28,29]"
gka_8.edgelist,10000,31,308,"[4,9,12,13,14,15,18,20,23,25,26,31,36,41,51,53,57,59,60,62,63,73,75,81,85,86,92,93,94,95,98]"
gka_9.edgelist,10000,2,0,"[4,5]"
gka_10.edgelist,10000,8,0,"[0,1,3,5,6,8,10,11]"
gka_11.edgelist,10000,10,0,"[0,2,3,4,5,7,8,9,10,12]"
gka_12.edgelist,10000,20,0,"[0,1,2,3,4,5,6,8,9,12,13,14,15,16,17,18,20,21,22,23]"
gka_13.edgelist,10000,16,0,"[1,2,4,5,6,7,8,9,12,13,14,15,16,17,18,19]"
gka_14.edgelist,10000,22,0,"[0,1,2,3,4,5,6,7,9,11,12,14,15,16,17,18,19,20,21,22,24,25]"
gka_15.edgelist,10000,0,0,[]
gka_16.edgelist,10000,0,0,[]
gka_17.edgelist,10000,0,0,[]
gka_18.edgelist,10000,2,0,"[1,3]"
gka_19.edgelist,10000,31,0,"[0,1,2,3,4,5,6,7,8,9,12,13,14,15,17,18,19,21,22,24,25,26,27,29,30,32,33,34,35,36,38]"
gka_20.edgelist,10000,39,0,"[0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,18,22,23,24,25,26,27,28,29,30,31,32,34,35,37,38,40,41,42,44,47,48,49]"
gka_21.edgelist,10000,40,2423,"[0,1,2,6,7,8,9,10,11,14,16,17,18,20,21,22,24,25,27,28,29,30,31,33,34,35,36,37,39,41,42,43,46,47,48,49,50,52,58,59]"
gka_22.edgelist,10000,43,7265,"[0,1,3,5,7,8,9,11,13,15,16,17,18,19,20,22,28,29,30,34,35,36,37,38,39,40,41,42,44,45,46,49,51,52,56,57,58,59,60,61,66,67,69]"
gka_23.edgelist,10000,46,1384,"[3,4,6,8,10,11,13,15,17,18,21,22,26,27,30,31,32,33,34,35,37,38,39,42,44,45,47,49,51,52,54,55,56,57,58,59,60,64,67,68,69,71,73,74,78,79]"
gka_24.edgelist,10000,37,4424,"[0,4,16,18,19,21,23,25,27,28,33,34,35,36,39,42,43,45,47,51,54,56,59,61,62,67,68,69,72,73,74,75,78,81,83,84,86]"
gka_25.edgelist,10000,44,16,"[0,1,2,4,5,6,9,11,12,16,17,18,19,21,26,27,31,32,35,42,44,45,49,50,53,54,55,57,59,60,61,63,65,71,74,79,81,82,83,85,87,94,96,98]"
gka_26.edgelist,10000,44,0,"[1,2,3,4,10,12,13,14,21,23,26,28,29,34,37,38,40,41,42,43,45,48,54,57,58,59,60,63,64,65,68,70,71,74,76,78,79,81,82,87,93,95,97,99]"
gka_27.edgelist,10000,63,117,"[0,2,6,8,9,10,11,15,16,17,19,21,22,25,26,28,29,33,34,35,36,37,40,41,42,44,46,47,48,49,50,51,53,54,55,56,57,58,59,61,63,66,68,70,72,73,74,75,76,78,81,82,83,85,88,89,90,92,93,94,97,98,99]"
gka_28.edgelist,10000,72,23,"[0,1,2,3,4,6,7,8,9,12,14,15,17,18,19,21,22,24,25,28,29,30,31,32,34,36,39,40,41,42,43,45,47,48,50,51,52,53,54,55,56,57,58,60,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,79,81,82,85,87,91,92,93,95,96,97,99]"
gka_29.edgelist,10000,77,3,"[1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,19,21,22,23,24,25,26,27,28,29,32,33,34,35,38,39,40,41,42,43,44,45,48,49,50,51,53,54,55,58,59,61,62,63,64,65,66,67,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85,86,88,90,91,92,93,97,99]"
gka_30.edgelist,10000,83,0,"[0,1,3,4,6,7,8,9,10,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,45,46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,62,64,66,68,70,71,72,73,74,75,76,78,79,80,81,82,85,86,87,88,89,91,92,93,95,96,97,98]"
gka_31.edgelist,10000,86,1,"[0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,19,20,21,22,24,25,26,28,30,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,80,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99]"
