Dataset,Timeout,Size,Time,Certificate
j28.edgelist,10,13,9,"[5,8,9,10,12,38,39,40,41,42,43,44,52]"
gka_1.edgelist,10,9,1,"[3,4,7,9,15,22,23,38,43]"
gka_2.edgelist,10,16,3,"[2,5,8,12,19,28,30,31,33,36,38,40,41,44,47,48]"
gka_3.edgelist,10,24,9,"[1,7,11,14,16,19,22,24,29,35,38,41,43,45,47,49,52,54,56,57,59,61,64,65]"
gka_4.edgelist,10,31,2,"[2,5,6,9,10,13,14,15,17,19,22,24,25,30,32,36,37,39,40,43,47,49,57,59,62,65,67,69,76,77,78]"
gka_5.edgelist,10,22,4,"[0,1,4,5,11,16,18,21,22,25,26,34,35,38,40,42,43,44,46,47,48,49]"
gka_6.edgelist,10,16,1,"[0,2,4,5,6,9,15,16,17,18,19,22,23,24,25,28]"
gka_7.edgelist,10,18,0,"[0,1,2,5,6,8,9,12,13,14,15,21,22,23,24,27,28,29]"
gka_8.edgelist,10,34,2,"[2,4,10,12,13,15,23,24,25,26,31,34,39,44,47,51,53,54,55,57,59,60,68,71,72,73,74,76,79,85,86,95,97,98]"
gka_9.edgelist,10,2,0,"[4,5]"
gka_10.edgelist,10,8,0,"[0,1,3,5,6,8,10,11]"
gka_11.edgelist,10,10,0,"[0,2,3,4,5,7,8,9,10,12]"
gka_12.edgelist,10,20,0,"[0,1,2,3,4,5,6,8,9,12,13,14,15,16,17,18,20,21,22,23]"
gka_13.edgelist,10,16,0,"[1,2,4,5,6,7,8,9,12,13,14,15,16,17,18,19]"
gka_14.edgelist,10,22,0,"[0,1,2,3,4,5,6,7,9,11,12,14,15,16,17,18,19,20,21,22,24,25]"
gka_15.edgelist,10,0,0,[]
gka_16.edgelist,10,0,0,[]
gka_17.edgelist,10,0,0,[]
gka_18.edgelist,10,2,0,"[1,3]"
gka_19.edgelist,10,31,0,"[0,1,2,3,4,5,6,7,8,9,12,13,14,15,17,18,19,21,22,24,25,26,27,29,30,32,33,34,35,36,38]"
gka_20.edgelist,10,39,0,"[0,1,2,3,4,6,8,9,10,11,12,13,14,15,16,17,18,22,23,24,25,26,27,28,29,30,31,32,34,35,37,38,40,41,42,44,47,48,49]"
gka_21.edgelist,10,41,9,"[0,1,2,3,4,5,6,7,8,9,10,11,17,18,20,21,22,24,25,27,28,29,30,31,33,34,35,39,41,42,43,47,48,49,50,52,53,54,55,56,59]"
gka_22.edgelist,10,46,0,"[0,1,2,3,5,8,10,11,15,16,17,18,19,20,21,22,24,25,28,29,30,31,33,34,35,36,37,38,41,42,44,46,49,50,51,52,54,57,59,60,61,62,64,66,67,68]"
gka_23.edgelist,10,48,6,"[0,2,3,4,6,8,10,11,13,15,16,17,18,22,23,26,27,28,29,30,31,32,33,35,37,39,40,42,43,44,45,47,49,51,52,53,55,57,58,62,64,67,69,71,73,74,78,79]"
gka_24.edgelist,10,39,1,"[3,4,5,18,22,24,25,28,34,35,38,39,40,42,43,46,47,49,51,53,55,59,60,61,62,63,64,65,67,68,72,73,75,76,80,82,83,86,87]"
gka_25.edgelist,10,45,5,"[0,1,2,4,5,11,12,14,17,18,19,21,26,27,29,31,32,34,35,42,44,46,48,49,50,53,54,57,59,60,61,65,67,68,69,74,79,81,83,85,87,93,96,97,98]"
gka_26.edgelist,10,44,0,"[1,2,3,4,10,12,13,14,21,23,26,28,29,34,37,38,40,41,42,43,45,48,54,57,58,59,60,63,64,65,68,70,71,74,76,78,79,81,82,87,93,95,97,99]"
gka_27.edgelist,10,65,0,"[2,6,7,8,9,10,11,13,14,15,16,17,19,20,23,25,26,28,29,30,31,33,34,35,37,40,41,42,43,45,46,47,48,49,51,53,54,55,56,58,59,60,61,63,66,68,69,70,71,72,74,75,80,82,86,88,89,90,91,92,93,94,97,98,99]"
gka_28.edgelist,10,73,0,"[0,2,3,4,6,7,9,10,12,14,16,17,18,19,20,21,22,23,24,27,29,30,31,32,33,34,36,37,39,40,42,43,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,62,63,65,66,67,68,69,70,71,72,73,74,76,77,81,84,87,90,91,92,93,95,96,98,99]"
gka_29.edgelist,10,77,3,"[1,2,3,4,5,6,7,8,10,12,13,14,15,16,17,19,21,22,23,24,25,26,27,28,29,32,33,34,35,38,39,40,41,42,43,44,45,48,49,50,51,53,54,55,58,59,61,62,63,64,65,66,67,69,70,71,72,74,75,76,77,78,79,80,81,82,83,84,85,86,88,90,91,92,93,97,99]"
gka_30.edgelist,10,83,0,"[0,1,3,4,6,7,8,9,10,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,42,43,45,46,47,48,49,50,51,53,54,55,56,57,58,59,60,61,62,64,66,68,70,71,72,73,74,75,76,78,79,80,81,82,85,86,87,88,89,91,92,93,95,96,97,98]"
gka_31.edgelist,10,86,0,"[0,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,19,20,21,22,24,25,26,28,30,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49,50,51,52,53,54,55,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,74,75,76,77,78,80,82,83,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99]"
gka_32.edgelist,10,89,1,"[0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,29,30,31,32,33,34,35,36,38,39,40,41,42,43,44,45,46,47,48,49,50,54,55,56,58,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,91,92,93,94,95,96,97,98,99]"
gka_33.edgelist,10,91,1,"[0,1,3,4,5,6,8,9,10,11,12,13,14,15,16,18,19,20,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,89,91,92,93,94,95,96,97,99]"
gka_34.edgelist,10,93,1,"[0,1,2,3,4,5,6,7,9,10,11,13,14,15,16,17,18,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,37,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,98,99]"
gka_35.edgelist,10,0,0,[]
bqp50_1.edgelist,10,12,0,"[2,5,6,13,25,26,28,32,33,37,45,49]"
bqp50_2.edgelist,10,12,2,"[4,6,16,20,27,28,30,31,33,42,44,46]"
bqp50_3.edgelist,10,15,2,"[0,8,9,10,12,18,29,34,37,39,40,41,42,43,46]"
bqp50_4.edgelist,10,12,2,"[7,13,14,15,17,19,20,23,32,33,36,42]"
bqp50_5.edgelist,10,13,0,"[1,4,17,18,27,28,29,32,33,35,46,47,49]"
bqp50_6.edgelist,10,9,6,"[6,8,11,15,16,20,21,23,37]"
bqp50_7.edgelist,10,10,0,"[1,2,4,5,9,16,17,23,30,39]"
bqp50_8.edgelist,10,15,4,"[0,3,4,17,19,22,23,24,29,30,36,43,46,47,48]"
bqp50_9.edgelist,10,13,2,"[10,14,15,17,20,23,27,29,33,34,37,40,41]"
bqp50_10.edgelist,10,12,3,"[0,1,3,4,6,7,12,18,20,25,26,41]"
bqp100_1.edgelist,10,43,3,"[1,2,5,6,7,12,13,15,17,18,21,22,23,24,26,27,29,32,34,36,39,40,45,47,52,56,57,59,60,69,71,72,74,76,78,79,80,88,89,92,95,98,99]"
bqp100_2.edgelist,10,44,0,"[2,3,5,9,11,12,13,14,19,20,21,22,26,27,31,34,39,40,41,44,45,48,49,50,51,52,57,66,69,71,72,73,74,75,83,85,86,87,90,92,93,94,96,98]"
bqp100_3.edgelist,10,46,8,"[0,1,4,6,7,9,10,12,15,16,23,25,26,28,31,34,35,36,38,39,40,47,48,50,52,54,57,58,59,60,63,65,71,73,74,76,77,80,81,82,86,88,91,95,98,99]"
bqp100_4.edgelist,10,43,3,"[0,3,4,6,8,11,14,15,17,21,22,23,24,27,32,34,35,37,38,42,43,44,45,47,48,54,61,63,64,70,71,73,75,79,81,82,85,86,87,88,89,97,99]"
bqp100_5.edgelist,10,45,1,"[0,1,3,4,8,9,12,14,15,16,18,20,21,25,27,29,31,32,33,34,38,40,41,42,45,48,49,50,51,52,60,61,62,63,64,66,68,70,73,77,79,87,91,96,99]"
bqp100_6.edgelist,10,45,3,"[0,2,8,9,12,15,16,17,21,24,26,29,30,31,33,34,39,41,45,46,48,50,53,55,56,62,64,65,67,68,70,72,81,82,83,84,85,86,88,90,91,95,97,98,99]"
bqp100_7.edgelist,10,45,1,"[1,2,4,7,8,9,13,20,21,22,23,25,27,30,31,33,35,36,37,38,40,42,44,46,51,53,57,58,60,61,72,76,79,80,84,86,87,90,91,93,94,95,96,97,99]"
bqp100_8.edgelist,10,47,1,"[2,4,5,6,9,10,12,13,14,17,18,20,21,22,25,26,27,29,31,40,42,43,48,49,50,54,55,57,61,65,67,70,72,74,75,77,78,80,81,83,86,87,90,92,96,97,99]"
bqp100_9.edgelist,10,46,4,"[4,5,6,7,10,11,12,13,14,15,18,19,24,27,32,33,34,35,40,43,44,45,48,50,51,53,54,57,60,61,62,64,68,69,73,74,75,79,81,83,87,93,95,96,98,99]"
bqp100_10.edgelist,10,46,0,"[4,5,6,11,13,16,18,19,20,21,24,28,33,34,35,36,41,42,45,46,50,51,54,55,57,60,62,63,65,67,71,73,74,75,78,79,80,81,87,88,89,90,92,93,96,97]"
aa10.edgelist,100,6,36,"[0,1,14,17,19,24]"
aa11.edgelist,100,12,1,"[1,5,6,7,17,18,19,20,21,22,23,29]"
aa13.edgelist,100,15,6,"[0,3,4,5,8,21,23,24,26,27,28,32,35,36,41]"
aa14.edgelist,100,19,77,"[5,6,7,8,10,13,14,15,16,22,26,27,29,33,35,36,37,38,41]"
aa15.edgelist,100,6,98,"[3,4,8,9,10,28]"
aa16.edgelist,100,0,0,[]
aa17.edgelist,100,28,5,"[6,7,8,9,11,12,13,16,17,18,20,21,23,24,27,29,30,31,32,33,38,41,46,47,48,52,53,54]"
aa18.edgelist,100,17,10,"[1,2,3,5,8,11,14,15,21,28,30,31,32,41,44,45,46]"
aa19.edgelist,100,21,52,"[4,9,10,20,21,23,24,25,26,27,31,32,35,36,37,38,41,47,49,56,60]"
aa20.edgelist,100,22,82,"[5,9,14,21,25,26,28,29,30,35,36,39,40,41,43,44,47,50,52,53,55,195]"
aa21.edgelist,100,0,0,[]
aa22.edgelist,100,17,5,"[0,1,2,7,11,13,14,21,22,23,27,28,31,32,36,46,119]"
aa23.edgelist,100,21,0,"[5,6,7,9,13,17,18,23,28,29,30,31,33,36,38,39,40,41,42,44,51]"
aa24.edgelist,100,25,8,"[2,3,9,12,13,16,20,21,29,30,34,35,36,37,49,53,54,55,58,61,63,64,69,70,72]"
