Dataset,Time,Size,Certificate,Solver
aa29,0.5,21,"['10', '14', '15', '17', '20', '21', '25', '29', '33', '36', '38', '40', '42', '45', '54', '55', '58', '6', '66', '68', '7']",huffner_heuristics
aa32,11.2,30,"['1', '11', '18', '21', '22', '23', '32', '33', '34', '36', '38', '4', '41', '42', '43', '44', '45', '47', '48', '49', '51', '52', '55', '56', '57', '59', '6', '60', '65', '9']",huffner_heuristics
aa41,40.0,40,"['10', '11', '13', '14', '15', '18', '2', '26', '27', '28', '29', '30', '35', '41', '44', '45', '46', '47', '48', '49', '50', '51', '56', '57', '58', '6', '61', '62', '63', '66', '68', '7', '71', '72', '74', '76', '8', '83', '86', '87']",huffner_heuristics
aa42,10.6,30,"['1', '10', '11', '16', '18', '20', '24', '28', '31', '32', '33', '47', '49', '5', '50', '56', '58', '59', '61', '65', '66', '69', '74', '75', '77', '78', '79', '80', '81', '85']",huffner_heuristics
aa43,0.3,18,"['10', '16', '2', '20', '21', '22', '27', '28', '30', '31', '32', '36', '38', '39', '4', '5', '6', '8']",huffner_heuristics
aa45,0.4,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']",huffner_heuristics
gka_1,0.3,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']",huffner_heuristics
gka_2,3.6,16,"['12', '19', '2', '22', '28', '30', '31', '33', '36', '38', '41', '44', '47', '48', '5', '8']",huffner_heuristics
gka_3,187.9,23,"['1', '10', '11', '19', '23', '24', '29', '3', '38', '43', '45', '46', '47', '49', '52', '54', '55', '56', '57', '59', '60', '64', '69']",huffner_heuristics
