Dataset,Solver,Timeout,HTime,Time,Size,Certificate
aa47,huffner,0.01,0.001,0.0,14,"['14', '18', '2', '24', '25', '26', '27', '28', '29', '30', '32', '4', '5', '6']"
aa48,huffner,0.01,0.001,0.01,17,"['0', '1', '15', '16', '17', '19', '20', '23', '27', '30', '33', '34', '37', '38', '6', '9', '18']"
aa49,huffner,0.01,0.001,0.0,0,[]
aa50,huffner,0.01,0.001,0.01,21,"['11', '18', '22', '23', '24', '29', '31', '33', '39', '49', '5', '52', '53', '58', '59', '7', '8', '35', '0', '28', '12']"
aa51,huffner,0.01,0.001,0.0,11,"['1', '11', '17', '24', '3', '35', '41', '42', '6', '7', '9']"
aa52,huffner,0.01,0.001,0.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa53,huffner,0.01,0.001,0.01,13,"['12', '26', '27', '31', '33', '34', '35', '36', '38', '40', '42', '5', '17']"
aa54,huffner,0.01,0.001,0.0,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
j10,huffner,0.01,0.001,0.0,3,"['0', '5', '8']"
j11,huffner,0.01,0.001,0.0,5,"['17', '18', '19', '24', '25']"
j13,huffner,0.01,0.001,0.0,4,"['17', '24', '29', '5']"
j14,huffner,0.01,0.001,0.0,3,"['1', '14', '15']"
j15,huffner,0.01,0.001,0.0,0,[]
j16,huffner,0.01,0.001,0.0,0,[]
j17,huffner,0.01,0.001,0.0,10,"['11', '15', '2', '21', '23', '25', '27', '4', '8', '9']"
j18,huffner,0.01,0.001,0.0,10,"['10', '11', '12', '2', '29', '45', '47', '6', '7', '9']"
j19,huffner,0.01,0.001,0.0,3,"['10', '11', '14']"
j20,huffner,0.01,0.001,0.0,0,[]
j21,huffner,0.01,0.001,0.0,2,"['4', '7']"
j22,huffner,0.01,0.001,0.0,9,"['26', '35', '37', '38', '39', '40', '41', '43', '44']"
j23,huffner,0.01,0.001,0.01,19,"['1', '14', '15', '2', '20', '21', '3', '30', '31', '33', '38', '41', '42', '5', '9', '39', '8', '49', '26']"
j24,huffner,0.01,0.001,0.0,3,"['20', '35', '40']"
j25,huffner,0.01,0.001,0.0,0,[]
j26,huffner,0.01,0.001,0.0,6,"['21', '24', '27', '3', '4', '5']"
j28,huffner,0.01,0.001,0.01,13,"['10', '14', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
gka_1,huffner,0.01,0.001,0.0,9,"['12', '25', '29', '30', '33', '39', '4', '40', '43']"
gka_2,huffner,0.01,0.001,0.01,16,"['19', '2', '22', '3', '30', '33', '36', '38', '44', '51', '56', '9', '35', '31', '15', '27']"
gka_3,huffner,0.01,0.001,0.01,23,"['24', '29', '38', '45', '46', '47', '52', '59', '60', '61', '67', '56', '57', '19', '35', '22', '54', '43', '1', '16', '7', '18', '51']"
gka_4,huffner,0.01,0.001,0.01,31,"['14', '17', '22', '43', '49', '57', '62', '65', '69', '76', '9', '28', '38', '10', '39', '2', '15', '40', '59', '24', '63', '67', '1', '19', '37', '78', '8', '36', '11', '72', '13']"
gka_5,huffner,0.01,0.001,0.01,23,"['11', '12', '14', '16', '25', '28', '32', '34', '43', '44', '45', '46', '47', '49', '6', '21', '30', '19', '35', '22', '4', '0', '15']"
gka_6,huffner,0.01,0.001,0.01,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_7,huffner,0.01,0.001,0.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_8,huffner,0.01,0.001,0.01,33,"['15', '20', '25', '41', '55', '59', '60', '63', '71', '86', '95', '92', '98', '24', '54', '94', '57', '23', '4', '56', '89', '90', '28', '37', '85', '30', '40', '80', '27', '97', '19', '22', '8']"
gka_9,huffner,0.01,0.001,0.0,2,"['4', '5']"
gka_10,huffner,0.01,0.001,0.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_11,huffner,0.01,0.001,0.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_12,huffner,0.01,0.001,0.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_13,huffner,0.01,0.001,0.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_14,huffner,0.01,0.001,0.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_15,huffner,0.01,0.001,0.0,0,[]
gka_16,huffner,0.01,0.001,0.0,0,[]
gka_17,huffner,0.01,0.001,0.0,0,[]
gka_18,huffner,0.01,0.001,0.0,2,"['0', '6']"
gka_19,huffner,0.01,0.001,0.0,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_20,huffner,0.01,0.001,0.01,39,"['1', '10', '11', '13', '14', '15', '18', '20', '23', '24', '26', '27', '28', '31', '32', '35', '37', '38', '40', '41', '42', '48', '49', '6', '8', '9', '17', '44', '29', '22', '12', '46', '47', '36', '2', '4', '3', '16', '34']"
gka_21,huffner,0.01,0.001,0.01,45,"['1', '10', '11', '2', '20', '29', '31', '34', '35', '36', '40', '43', '46', '49', '50', '55', '7', '8', '27', '48', '52', '28', '33', '47', '24', '51', '18', '16', '0', '25', '6', '59', '44', '17', '22', '45', '58', '21', '15', '9', '12', '42', '30', '13', '23']"
gka_22,huffner,0.01,0.001,0.01,46,"['0', '1', '11', '16', '3', '33', '34', '35', '41', '46', '49', '5', '51', '52', '61', '64', '66', '19', '31', '42', '59', '29', '37', '30', '57', '20', '68', '67', '28', '8', '21', '36', '62', '22', '15', '18', '38', '10', '50', '25', '17', '2', '54', '60', '24', '44']"
