Dataset,Solver,Timeout,HTime,Time,Size,Certificate
gka_28,huffner,0.01,0.005,0.01,73,"['18', '21', '3', '70', '43', '45', '97', '76', '17', '53', '75', '34', '85', '47', '65', '2', '95', '6', '66', '50', '74', '30', '60', '0', '56', '71', '68', '16', '63', '36', '87', '67', '39', '81', '55', '98', '4', '51', '91', '62', '93', '12', '64', '42', '79', '48', '1', '33', '57', '9', '52', '24', '92', '28', '40', '31', '77', '73', '19', '25', '72', '10', '58', '99', '69', '82', '23', '54', '29', '15', '41', '96', '32']"
gka_29,huffner,0.01,0.005,0.01,77,"['64', '92', '55', '24', '61', '29', '3', '72', '23', '85', '44', '49', '66', '90', '59', '41', '84', '99', '42', '21', '22', '6', '19', '39', '25', '33', '71', '15', '54', '38', '40', '48', '13', '14', '45', '74', '81', '91', '97', '43', '69', '5', '75', '28', '50', '82', '83', '65', '78', '67', '17', '1', '32', '35', '58', '16', '76', '12', '51', '88', '8', '34', '26', '63', '80', '86', '10', '62', '27', '2', '7', '70', '93', '53', '79', '4', '77']"
gka_30,huffner,0.01,0.005,0.01,84,"['82', '58', '36', '54', '87', '48', '76', '51', '24', '31', '37', '39', '38', '41', '12', '35', '34', '68', '81', '71', '59', '0', '26', '29', '98', '46', '93', '17', '33', '8', '43', '53', '22', '65', '16', '20', '85', '50', '96', '56', '30', '18', '63', '7', '78', '75', '79', '61', '21', '97', '49', '40', '73', '57', '10', '74', '95', '55', '64', '89', '92', '6', '60', '28', '32', '72', '47', '1', '15', '42', '86', '70', '80', '45', '9', '91', '3', '23', '4', '14', '27', '69', '62', '66']"
gka_31,huffner,0.01,0.005,0.01,87,"['11', '3', '77', '38', '4', '44', '49', '30', '89', '24', '45', '63', '17', '15', '52', '55', '35', '25', '22', '93', '12', '43', '31', '19', '40', '28', '5', '51', '67', '87', '82', '85', '7', '29', '1', '94', '71', '8', '95', '99', '69', '10', '6', '75', '26', '41', '65', '90', '91', '48', '61', '83', '84', '33', '34', '64', '16', '13', '54', '60', '78', '23', '80', '66', '74', '21', '39', '50', '46', '27', '76', '86', '62', '70', '47', '92', '36', '9', '97', '59', '20', '96', '58', '68', '72', '81', '57']"
gka_32,huffner,0.01,0.005,0.01,89,"['96', '12', '25', '40', '87', '14', '15', '55', '29', '32', '67', '77', '24', '44', '83', '90', '95', '48', '99', '39', '11', '94', '54', '69', '61', '80', '81', '91', '62', '65', '84', '43', '20', '93', '45', '18', '88', '6', '34', '22', '66', '8', '9', '36', '47', '21', '68', '78', '16', '41', '31', '10', '30', '97', '0', '28', '17', '73', '74', '46', '75', '38', '58', '71', '4', '13', '27', '82', '63', '33', '5', '70', '72', '85', '76', '92', '7', '1', '3', '56', '89', '49', '35', '86', '98', '26', '64', '52', '60']"
gka_33,huffner,0.01,0.005,0.01,91,"['12', '27', '34', '44', '58', '6', '19', '36', '55', '94', '31', '37', '49', '59', '73', '74', '84', '54', '0', '65', '79', '40', '53', '9', '10', '30', '16', '13', '81', '38', '11', '47', '5', '87', '3', '32', '95', '20', '52', '62', '76', '77', '63', '46', '68', '78', '4', '35', '28', '99', '61', '70', '14', '8', '96', '66', '80', '72', '51', '86', '50', '90', '64', '75', '45', '97', '23', '42', '91', '15', '43', '60', '48', '67', '2', '26', '18', '41', '29', '93', '33', '88', '25', '69', '89', '1', '83', '24', '92', '57', '56']"
gka_34,huffner,0.01,0.005,0.01,93,"['0', '13', '18', '31', '40', '45', '55', '59', '66', '67', '7', '70', '84', '33', '37', '39', '1', '41', '5', '6', '72', '14', '53', '61', '69', '80', '85', '86', '90', '91', '52', '58', '82', '95', '96', '99', '46', '11', '57', '73', '76', '79', '47', '29', '60', '10', '34', '83', '51', '49', '50', '56', '9', '63', '64', '75', '88', '93', '26', '77', '4', '48', '98', '32', '81', '15', '23', '89', '22', '68', '35', '62', '92', '65', '30', '87', '43', '2', '25', '17', '74', '20', '78', '38', '54', '16', '94', '21', '27', '3', '71', '28', '44']"
gka_35,huffner,0.01,0.005,0.0,0,[]
bqp50_1,huffner,0.01,0.005,0.01,11,"['13', '14', '30', '32', '33', '37', '47', '49', '5', '6', '38']"
bqp50_2,huffner,0.01,0.005,0.01,11,"['20', '21', '27', '28', '30', '31', '33', '4', '44', '46', '5']"
bqp50_3,huffner,0.01,0.005,0.01,14,"['0', '22', '26', '39', '40', '41', '42', '43', '5', '8', '9', '31', '10', '14']"
bqp50_4,huffner,0.01,0.005,0.01,11,"['13', '14', '17', '19', '20', '23', '36', '41', '42', '45', '7']"
bqp50_5,huffner,0.01,0.005,0.01,14,"['1', '18', '27', '29', '32', '33', '35', '37', '46', '47', '49', '26', '11', '25']"
bqp50_6,huffner,0.01,0.005,0.01,10,"['17', '18', '19', '20', '21', '23', '33', '36', '6', '8']"
bqp50_7,huffner,0.01,0.005,0.0,9,"['1', '13', '14', '15', '16', '23', '39', '43', '47']"
bqp50_8,huffner,0.01,0.005,0.01,15,"['0', '19', '24', '29', '3', '38', '42', '43', '46', '48', '36', '30', '23', '47', '4']"
bqp50_9,huffner,0.01,0.005,0.01,12,"['10', '14', '20', '23', '27', '29', '34', '37', '40', '41', '15', '17']"
bqp50_10,huffner,0.01,0.005,0.01,12,"['1', '12', '18', '21', '25', '3', '30', '39', '41', '46', '6', '47']"
bqp100_1,huffner,0.01,0.005,0.01,44,"['13', '19', '26', '27', '32', '36', '52', '57', '72', '91', '88', '21', '39', '5', '56', '0', '74', '4', '29', '7', '89', '54', '14', '92', '99', '1', '17', '12', '47', '80', '69', '15', '73', '24', '34', '60', '83', '62', '95', '96', '23', '6', '20', '53']"
bqp100_2,huffner,0.01,0.005,0.01,44,"['13', '21', '22', '26', '34', '40', '51', '56', '66', '69', '71', '96', '11', '72', '75', '2', '85', '48', '74', '31', '41', '87', '27', '68', '14', '76', '98', '12', '73', '99', '3', '16', '94', '7', '52', '59', '45', '86', '50', '93', '47', '5', '54', '20']"
bqp100_3,huffner,0.01,0.005,0.01,45,"['1', '23', '25', '36', '46', '57', '58', '63', '65', '9', '98', '50', '52', '6', '18', '86', '54', '53', '48', '97', '88', '10', '34', '74', '91', '19', '20', '28', '7', '40', '99', '33', '70', '82', '39', '77', '60', '26', '15', '0', '35', '22', '21', '73', '81']"
bqp100_4,huffner,0.01,0.005,0.01,45,"['23', '24', '32', '35', '45', '48', '49', '52', '58', '75', '4', '11', '0', '37', '79', '29', '42', '6', '21', '73', '63', '70', '27', '80', '88', '97', '31', '15', '22', '8', '94', '85', '57', '54', '86', '89', '13', '87', '91', '99', '38', '92', '34', '17', '59']"
bqp100_5,huffner,0.01,0.005,0.01,44,"['19', '27', '29', '3', '33', '34', '38', '45', '55', '63', '87', '0', '77', '5', '8', '9', '20', '91', '12', '25', '18', '90', '51', '26', '6', '61', '78', '73', '40', '41', '14', '42', '96', '69', '36', '76', '99', '80', '43', '56', '15', '62', '84', '88']"
bqp100_6,huffner,0.01,0.005,0.01,46,"['0', '18', '2', '30', '48', '50', '55', '66', '68', '70', '96', '97', '82', '13', '63', '8', '83', '95', '41', '56', '33', '72', '65', '88', '9', '4', '86', '64', '14', '12', '16', '45', '44', '15', '59', '91', '93', '52', '47', '98', '67', '99', '87', '75', '74', '94']"
bqp100_7,huffner,0.01,0.005,0.01,45,"['1', '13', '18', '2', '20', '22', '23', '38', '57', '9', '93', '96', '86', '66', '12', '44', '94', '28', '4', '95', '51', '21', '60', '79', '75', '78', '65', '8', '70', '84', '17', '5', '80', '37', '16', '41', '52', '99', '90', '29', '72', '15', '81', '34', '69']"
bqp100_8,huffner,0.01,0.005,0.01,46,"['13', '14', '17', '18', '25', '26', '54', '57', '71', '75', '80', '68', '90', '15', '61', '99', '65', '39', '35', '6', '9', '5', '87', '77', '70', '42', '56', '93', '33', '4', '72', '12', '11', '96', '86', '20', '81', '50', '47', '92', '59', '32', '22', '43', '94', '46']"
bqp100_9,huffner,0.01,0.005,0.01,47,"['18', '32', '33', '35', '41', '53', '54', '69', '77', '83', '67', '7', '49', '76', '81', '99', '44', '3', '55', '27', '13', '19', '31', '97', '95', '57', '50', '25', '89', '21', '87', '34', '29', '22', '65', '45', '40', '12', '70', '62', '98', '51', '11', '96', '56', '15', '16']"
bqp100_10,huffner,0.01,0.005,0.01,47,"['12', '21', '33', '4', '50', '63', '66', '75', '79', '80', '81', '90', '78', '42', '92', '46', '51', '19', '6', '54', '68', '74', '28', '57', '39', '58', '71', '73', '89', '16', '47', '31', '97', '55', '15', '24', '45', '43', '11', '65', '91', '5', '64', '20', '36', '40', '67']"
aa10,huffner,0.1,0.01,0.0,6,"['0', '1', '14', '17', '19', '24']"
aa11,huffner,0.1,0.01,0.0,11,"['1', '11', '14', '15', '17', '21', '24', '27', '29', '6', '7']"
aa13,huffner,0.1,0.01,0.0,12,"['0', '21', '22', '24', '26', '28', '35', '36', '4', '40', '41', '42']"
aa14,huffner,0.1,0.01,0.1,19,"['10', '15', '16', '22', '26', '27', '29', '33', '35', '36', '38', '41', '5', '6', '7', '8', '13', '14', '39']"
aa15,huffner,0.1,0.01,0.0,6,"['10', '28', '3', '4', '8', '9']"
aa16,huffner,0.1,0.01,0.0,0,[]
aa17,huffner,0.1,0.01,0.1,28,"['1', '11', '12', '14', '19', '2', '22', '25', '26', '41', '43', '48', '49', '50', '54', '6', '8', '9', '7', '38', '46', '28', '47', '17', '52', '20', '5', '36']"
aa18,huffner,0.1,0.01,0.0,14,"['14', '2', '21', '24', '29', '3', '32', '33', '35', '41', '44', '45', '5', '8']"
aa19,huffner,0.1,0.01,0.1,20,"['10', '20', '21', '22', '24', '27', '35', '36', '37', '38', '4', '41', '47', '5', '56', '60', '9', '25', '52', '32']"
aa20,huffner,0.1,0.01,0.1,20,"['11', '14', '25', '30', '31', '32', '34', '36', '39', '41', '43', '44', '45', '47', '5', '50', '52', '53', '55', '9']"
aa21,huffner,0.1,0.01,0.0,0,[]
aa22,huffner,0.1,0.01,0.1,16,"['0', '1', '11', '14', '2', '21', '22', '23', '27', '28', '31', '32', '36', '41', '46', '7']"
aa23,huffner,0.1,0.01,0.0,18,"['10', '11', '13', '16', '21', '23', '29', '31', '33', '38', '40', '41', '42', '44', '5', '51', '6', '9']"
aa24,huffner,0.1,0.01,0.1,27,"['12', '13', '2', '20', '33', '34', '35', '36', '49', '53', '58', '61', '62', '64', '69', '70', '72', '9', '21', '3', '54', '77', '55', '1', '10', '65', '60']"
aa25,huffner,0.1,0.01,0.0,0,[]
aa26,huffner,0.1,0.01,0.0,12,"['1', '19', '21', '22', '25', '29', '30', '31', '33', '35', '38', '5']"
aa27,huffner,0.1,0.01,0.0,11,"['0', '1', '20', '23', '27', '30', '31', '40', '43', '44', '9']"
aa28,huffner,0.1,0.01,0.1,34,"['13', '15', '17', '18', '20', '24', '25', '28', '30', '31', '32', '36', '37', '41', '46', '47', '52', '53', '54', '58', '59', '60', '62', '63', '64', '9', '16', '19', '21', '22', '141', '140', '130', '105']"
aa29,huffner,0.1,0.01,0.1,22,"['17', '21', '24', '25', '32', '36', '37', '38', '39', '40', '42', '43', '45', '50', '54', '55', '58', '6', '61', '65', '66', '7']"
aa30,huffner,0.1,0.01,0.0,4,"['11', '2', '4', '7']"
aa31,huffner,0.1,0.01,0.0,0,[]
aa32,huffner,0.1,0.01,0.1,36,"['1', '11', '16', '19', '20', '21', '25', '34', '36', '38', '4', '40', '43', '44', '46', '47', '48', '49', '52', '55', '57', '63', '9', '12', '0', '13', '51', '26', '18', '29', '61', '39', '58', '7', '15', '87']"
aa33,huffner,0.1,0.01,0.0,4,"['24', '32', '33', '37']"
aa34,huffner,0.1,0.01,0.0,13,"['11', '13', '14', '16', '19', '20', '21', '28', '3', '31', '35', '36', '5']"
aa35,huffner,0.1,0.01,0.0,10,"['11', '13', '14', '20', '21', '24', '3', '30', '32', '37']"
aa36,huffner,0.1,0.01,0.0,7,"['10', '17', '18', '29', '31', '32', '8']"
aa37,huffner,0.1,0.01,0.0,4,"['1', '20', '4', '5']"
aa38,huffner,0.1,0.01,0.1,27,"['0', '16', '18', '21', '22', '25', '26', '29', '35', '38', '39', '42', '47', '48', '49', '5', '50', '52', '56', '6', '62', '63', '65', '7', '41', '60', '64']"
aa39,huffner,0.1,0.01,0.1,27,"['10', '11', '13', '17', '18', '19', '22', '23', '28', '29', '3', '30', '31', '5', '56', '57', '7', '9', '24', '6', '20', '27', '48', '43', '50', '15', '14']"
aa40,huffner,0.1,0.01,0.1,22,"['12', '18', '27', '28', '32', '33', '37', '40', '44', '45', '46', '47', '48', '50', '52', '53', '55', '56', '58', '8', '41', '17']"
aa41,huffner,0.1,0.01,0.1,50,"['10', '11', '13', '14', '15', '2', '29', '46', '48', '49', '50', '51', '56', '57', '58', '6', '62', '63', '66', '68', '71', '72', '18', '47', '76', '33', '7', '20', '8', '27', '12', '26', '36', '37', '86', '83', '87', '30', '81', '39', '38', '40', '54', '64', '1', '0', '61', '35', '41', '74']"
aa42,huffner,0.1,0.01,0.1,36,"['10', '11', '15', '16', '17', '18', '20', '24', '25', '32', '38', '47', '50', '58', '59', '61', '65', '66', '69', '74', '75', '79', '80', '81', '85', '23', '5', '49', '56', '12', '36', '78', '43', '30', '31', '87']"
aa43,huffner,0.1,0.01,0.1,19,"['1', '10', '16', '19', '2', '20', '21', '22', '27', '28', '31', '32', '36', '39', '4', '7', '8', '9', '15']"
aa44,huffner,0.1,0.01,0.0,10,"['0', '16', '22', '23', '25', '26', '27', '29', '30', '4']"
aa45,huffner,0.1,0.01,0.1,20,"['11', '12', '17', '2', '20', '21', '22', '23', '24', '26', '29', '3', '33', '35', '36', '37', '38', '4', '42', '6']"
aa46,huffner,0.1,0.01,0.0,13,"['0', '12', '13', '14', '16', '19', '2', '22', '26', '3', '45', '54', '56']"
aa47,huffner,0.1,0.01,0.0,14,"['14', '18', '2', '24', '25', '26', '27', '28', '29', '30', '32', '4', '5', '6']"
aa48,huffner,0.1,0.01,0.1,17,"['0', '15', '17', '18', '19', '21', '23', '27', '3', '33', '34', '35', '37', '38', '40', '5', '6']"
aa49,huffner,0.1,0.01,0.0,0,[]
aa50,huffner,0.1,0.01,0.0,18,"['11', '18', '22', '23', '24', '29', '31', '33', '35', '39', '49', '5', '52', '53', '58', '59', '7', '8']"
aa51,huffner,0.1,0.01,0.0,11,"['1', '11', '17', '24', '3', '35', '41', '42', '6', '7', '9']"
aa52,huffner,0.1,0.01,0.0,12,"['0', '1', '11', '12', '17', '18', '21', '24', '25', '29', '3', '30']"
aa53,huffner,0.1,0.01,0.0,12,"['16', '24', '26', '27', '3', '31', '33', '34', '36', '38', '40', '42']"
aa54,huffner,0.1,0.01,0.0,12,"['12', '15', '16', '18', '19', '20', '26', '29', '31', '35', '40', '42']"
j10,huffner,0.1,0.01,0.0,3,"['0', '5', '8']"
j11,huffner,0.1,0.01,0.0,5,"['17', '18', '19', '24', '25']"
j13,huffner,0.1,0.01,0.0,4,"['17', '24', '29', '5']"
j14,huffner,0.1,0.01,0.0,3,"['1', '14', '15']"
j15,huffner,0.1,0.01,0.0,0,[]
j16,huffner,0.1,0.01,0.0,0,[]
j17,huffner,0.1,0.01,0.0,10,"['11', '15', '2', '21', '23', '25', '27', '4', '8', '9']"
j18,huffner,0.1,0.01,0.0,10,"['10', '11', '12', '2', '29', '45', '47', '6', '7', '9']"
j19,huffner,0.1,0.01,0.0,3,"['10', '11', '14']"
j20,huffner,0.1,0.01,0.0,0,[]
j21,huffner,0.1,0.01,0.0,2,"['4', '7']"
j22,huffner,0.1,0.01,0.0,9,"['31', '35', '37', '38', '39', '40', '41', '43', '44']"
j23,huffner,0.1,0.01,0.1,19,"['1', '14', '15', '2', '20', '21', '26', '3', '30', '31', '33', '38', '39', '41', '42', '49', '5', '8', '9']"
j24,huffner,0.1,0.01,0.0,3,"['20', '35', '40']"
j25,huffner,0.1,0.01,0.0,0,[]
j26,huffner,0.1,0.01,0.0,6,"['21', '24', '27', '3', '4', '5']"
j28,huffner,0.1,0.01,0.0,13,"['10', '12', '38', '39', '40', '41', '42', '43', '44', '5', '52', '8', '9']"
gka_1,huffner,0.1,0.01,0.0,9,"['15', '22', '23', '3', '38', '4', '43', '7', '9']"
gka_2,huffner,0.1,0.01,0.1,16,"['19', '2', '22', '3', '30', '31', '33', '35', '36', '38', '44', '51', '56', '9', '15', '27']"
gka_3,huffner,0.1,0.01,0.1,23,"['19', '24', '29', '38', '45', '46', '47', '52', '56', '57', '59', '60', '61', '67', '35', '22', '54', '43', '1', '16', '7', '18', '51']"
gka_4,huffner,0.1,0.01,0.1,30,"['10', '15', '17', '2', '22', '24', '40', '43', '50', '57', '62', '65', '68', '69', '76', '67', '9', '53', '49', '71', '28', '37', '70', '19', '61', '72', '36', '46', '30', '5']"
gka_5,huffner,0.1,0.01,0.1,22,"['1', '11', '14', '17', '18', '25', '26', '33', '34', '40', '43', '46', '47', '48', '49', '5', '21', '23', '39', '38', '15', '9']"
gka_6,huffner,0.1,0.01,0.0,16,"['0', '15', '16', '17', '18', '19', '2', '22', '23', '24', '25', '28', '4', '5', '6', '9']"
gka_7,huffner,0.1,0.01,0.0,18,"['0', '1', '11', '12', '13', '14', '15', '2', '21', '23', '24', '27', '28', '29', '5', '6', '8', '9']"
gka_8,huffner,0.1,0.01,0.1,33,"['15', '20', '25', '41', '55', '59', '60', '63', '71', '86', '92', '95', '98', '24', '54', '94', '57', '23', '4', '56', '89', '90', '28', '37', '85', '30', '40', '80', '27', '97', '19', '22', '8']"
gka_9,huffner,0.1,0.01,0.0,2,"['4', '5']"
gka_10,huffner,0.1,0.01,0.0,8,"['0', '10', '11', '3', '4', '6', '8', '9']"
gka_11,huffner,0.1,0.01,0.0,10,"['0', '1', '10', '12', '2', '4', '5', '6', '7', '8']"
gka_12,huffner,0.1,0.01,0.0,20,"['0', '1', '10', '11', '12', '13', '14', '16', '17', '18', '19', '20', '21', '22', '23', '3', '4', '5', '6', '7']"
gka_13,huffner,0.1,0.01,0.0,16,"['0', '1', '10', '11', '12', '14', '16', '17', '18', '2', '3', '4', '5', '6', '8', '9']"
gka_14,huffner,0.1,0.01,0.0,22,"['0', '1', '10', '11', '12', '13', '15', '16', '17', '18', '2', '21', '22', '23', '24', '25', '4', '5', '6', '7', '8', '9']"
gka_15,huffner,0.1,0.01,0.0,0,[]
gka_16,huffner,0.1,0.01,0.0,0,[]
gka_17,huffner,0.1,0.01,0.0,0,[]
gka_18,huffner,0.1,0.01,0.0,2,"['0', '6']"
gka_19,huffner,0.1,0.01,0.0,31,"['0', '1', '12', '13', '14', '15', '17', '18', '2', '21', '22', '24', '25', '26', '27', '28', '29', '3', '30', '32', '33', '34', '35', '36', '38', '4', '5', '6', '7', '8', '9']"
gka_20,huffner,0.1,0.01,0.1,39,"['1', '10', '11', '12', '13', '14', '15', '17', '18', '2', '20', '22', '23', '24', '26', '27', '28', '29', '3', '31', '32', '35', '36', '37', '38', '4', '40', '41', '42', '44', '46', '47', '48', '49', '6', '8', '9', '16', '34']"
gka_21,huffner,0.1,0.01,0.1,42,"['0', '1', '11', '16', '18', '2', '20', '25', '27', '29', '34', '35', '36', '39', '43', '46', '48', '49', '50', '53', '54', '56', '58', '7', '8', '6', '33', '41', '59', '24', '17', '22', '44', '52', '40', '47', '28', '38', '42', '45', '30', '9']"
gka_22,huffner,0.1,0.01,0.1,46,"['0', '1', '11', '16', '19', '29', '3', '31', '33', '34', '35', '37', '41', '42', '46', '49', '5', '51', '52', '59', '61', '64', '66', '30', '57', '20', '68', '67', '28', '8', '21', '36', '62', '22', '15', '18', '38', '10', '50', '25', '17', '2', '54', '60', '24', '44']"
gka_23,huffner,0.1,0.01,0.1,48,"['0', '10', '11', '15', '18', '2', '29', '33', '35', '37', '39', '4', '45', '51', '55', '58', '6', '78', '8', '49', '22', '79', '23', '30', '28', '16', '53', '71', '26', '31', '44', '65', '20', '42', '75', '40', '43', '76', '57', '47', '52', '13', '9', '68', '73', '21', '24', '1']"
gka_24,huffner,0.1,0.01,0.1,38,"['2', '24', '25', '34', '36', '38', '42', '53', '55', '59', '62', '67', '72', '82', '83', '47', '39', '40', '75', '69', '46', '22', '70', '58', '19', '35', '51', '49', '43', '80', '86', '1', '79', '64', '4', '14', '73', '76']"
gka_25,huffner,0.1,0.01,0.1,44,"['17', '19', '26', '31', '32', '4', '42', '49', '5', '53', '60', '79', '83', '94', '96', '81', '12', '65', '98', '44', '18', '82', '27', '35', '74', '50', '11', '2', '55', '0', '59', '85', '16', '6', '1', '45', '87', '9', '57', '21', '71', '54', '61', '63']"
gka_26,huffner,0.1,0.01,0.1,44,"['10', '12', '13', '14', '23', '3', '43', '48', '63', '64', '68', '7', '70', '93', '95', '28', '57', '6', '37', '45', '54', '81', '87', '97', '2', '78', '71', '76', '38', '79', '59', '55', '65', '40', '74', '99', '56', '34', '9', '41', '72', '29', '58', '92']"
gka_27,huffner,0.1,0.01,0.1,63,"['11', '13', '15', '16', '17', '19', '23', '26', '41', '42', '48', '53', '54', '6', '63', '66', '68', '84', '9', '99', '47', '36', '20', '52', '74', '28', '45', '32', '10', '37', '31', '29', '94', '51', '87', '2', '46', '49', '60', '78', '67', '85', '21', '8', '89', '58', '12', '75', '81', '91', '25', '3', '14', '97', '57', '72', '30', '92', '56', '44', '73', '76', '65']"
gka_28,huffner,0.1,0.01,0.1,73,"['17', '18', '2', '21', '3', '30', '34', '43', '45', '47', '50', '53', '6', '65', '66', '70', '74', '75', '76', '85', '95', '97', '60', '0', '56', '71', '68', '16', '63', '36', '87', '67', '39', '81', '55', '98', '4', '51', '91', '62', '93', '12', '64', '42', '79', '48', '1', '33', '57', '9', '52', '24', '92', '28', '40', '31', '77', '73', '19', '25', '72', '10', '58', '99', '69', '82', '23', '54', '29', '15', '41', '96', '32']"
gka_29,huffner,0.1,0.01,0.1,77,"['19', '21', '22', '23', '24', '25', '29', '3', '33', '39', '41', '42', '44', '49', '55', '59', '6', '61', '64', '66', '71', '72', '84', '85', '90', '92', '99', '15', '54', '38', '40', '48', '13', '14', '45', '74', '81', '91', '97', '43', '69', '5', '75', '28', '50', '82', '83', '65', '78', '67', '17', '1', '32', '35', '58', '16', '76', '12', '51', '88', '8', '34', '26', '63', '80', '86', '10', '62', '27', '2', '7', '70', '93', '53', '79', '4', '77']"
gka_30,huffner,0.1,0.01,0.1,84,"['0', '12', '17', '24', '26', '29', '31', '33', '34', '35', '36', '37', '38', '39', '41', '43', '46', '48', '51', '54', '58', '59', '68', '71', '76', '8', '81', '82', '87', '93', '98', '53', '22', '65', '16', '20', '85', '50', '96', '56', '30', '18', '63', '7', '78', '75', '79', '61', '21', '97', '49', '40', '73', '57', '10', '74', '95', '55', '64', '89', '92', '6', '60', '28', '32', '72', '47', '1', '15', '42', '86', '70', '80', '45', '9', '91', '3', '23', '4', '14', '27', '69', '62', '66']"
gka_31,huffner,0.1,0.01,0.1,87,"['1', '11', '12', '15', '17', '19', '22', '24', '25', '28', '29', '3', '30', '31', '35', '38', '4', '40', '43', '44', '45', '49', '5', '51', '52', '55', '63', '67', '7', '71', '77', '8', '82', '85', '87', '89', '93', '94', '95', '99', '69', '10', '6', '75', '26', '41', '65', '90', '91', '48', '61', '83', '84', '33', '34', '64', '16', '13', '54', '60', '78', '23', '80', '66', '74', '21', '39', '50', '46', '27', '76', '86', '62', '70', '47', '92', '36', '9', '97', '59', '20', '96', '58', '68', '72', '81', '57']"
gka_32,huffner,0.1,0.01,0.1,89,"['11', '12', '14', '15', '18', '20', '22', '24', '25', '29', '32', '34', '36', '39', '40', '43', '44', '45', '47', '48', '54', '55', '6', '61', '62', '65', '66', '67', '69', '77', '8', '80', '81', '83', '84', '87', '88', '9', '90', '91', '93', '94', '95', '96', '99', '21', '68', '78', '16', '41', '31', '10', '30', '97', '0', '28', '17', '73', '74', '46', '75', '38', '58', '71', '4', '13', '27', '82', '63', '33', '5', '70', '72', '85', '76', '92', '7', '1', '3', '56', '89', '49', '35', '86', '98', '26', '64', '52', '60']"
gka_33,huffner,0.1,0.01,0.1,91,"['0', '10', '11', '12', '13', '14', '16', '19', '20', '27', '28', '3', '30', '31', '32', '34', '35', '36', '37', '38', '4', '40', '44', '46', '47', '49', '5', '52', '53', '54', '55', '58', '59', '6', '61', '62', '63', '65', '66', '68', '70', '72', '73', '74', '76', '77', '78', '79', '8', '80', '81', '84', '87', '9', '94', '95', '96', '99', '51', '86', '50', '90', '64', '75', '45', '97', '23', '42', '91', '15', '43', '60', '48', '67', '2', '26', '18', '41', '29', '93', '33', '88', '25', '69', '89', '1', '83', '24', '92', '57', '56']"
gka_34,huffner,0.1,0.01,0.1,93,"['0', '1', '10', '11', '13', '14', '15', '18', '22', '23', '26', '29', '30', '31', '32', '33', '34', '35', '37', '39', '4', '40', '41', '43', '45', '46', '47', '48', '49', '5', '50', '51', '52', '53', '55', '56', '57', '58', '59', '6', '60', '61', '62', '63', '64', '65', '66', '67', '68', '69', '7', '70', '72', '73', '75', '76', '77', '79', '80', '81', '82', '83', '84', '85', '86', '87', '88', '89', '9', '90', '91', '92', '93', '95', '96', '98', '99', '2', '25', '17', '74', '20', '78', '38', '54', '16', '94', '21', '27', '3', '71', '28', '44']"
gka_35,huffner,0.1,0.01,0.0,0,[]
bqp50_1,huffner,0.1,0.01,0.0,11,"['13', '14', '30', '32', '33', '37', '38', '47', '49', '5', '6']"
bqp50_2,huffner,0.1,0.01,0.0,11,"['20', '21', '27', '28', '30', '31', '33', '4', '44', '46', '5']"
bqp50_3,huffner,0.1,0.01,0.1,14,"['0', '10', '14', '22', '26', '31', '39', '40', '41', '42', '43', '5', '8', '9']"
bqp50_4,huffner,0.1,0.01,0.0,11,"['13', '14', '17', '19', '20', '23', '36', '41', '42', '45', '7']"
bqp50_5,huffner,0.1,0.01,0.1,13,"['1', '17', '18', '25', '27', '29', '32', '33', '35', '4', '46', '47', '49']"
bqp50_6,huffner,0.1,0.01,0.0,9,"['11', '16', '20', '21', '23', '37', '6', '8', '9']"
bqp50_7,huffner,0.1,0.01,0.0,9,"['1', '13', '14', '15', '16', '23', '39', '43', '47']"
bqp50_8,huffner,0.1,0.01,0.1,15,"['0', '19', '23', '24', '29', '3', '30', '36', '38', '42', '43', '46', '47', '48', '4']"
bqp50_9,huffner,0.1,0.01,0.0,12,"['10', '14', '15', '17', '20', '23', '27', '29', '34', '37', '40', '41']"
bqp50_10,huffner,0.1,0.01,0.0,11,"['0', '12', '18', '2', '24', '26', '29', '30', '39', '41', '6']"
bqp100_1,huffner,0.1,0.01,0.1,44,"['0', '13', '19', '21', '26', '27', '32', '36', '39', '5', '52', '56', '57', '72', '88', '91', '74', '4', '29', '7', '89', '54', '14', '92', '99', '1', '17', '12', '47', '80', '69', '15', '73', '24', '34', '60', '83', '62', '95', '96', '23', '6', '20', '53']"
bqp100_2,huffner,0.1,0.01,0.1,44,"['11', '13', '2', '21', '22', '26', '34', '40', '51', '56', '66', '69', '71', '72', '75', '96', '85', '48', '74', '31', '41', '87', '27', '68', '14', '76', '98', '12', '73', '99', '3', '16', '94', '7', '52', '59', '45', '86', '50', '93', '47', '5', '54', '20']"
bqp100_3,huffner,0.1,0.01,0.1,45,"['1', '18', '23', '25', '36', '46', '50', '52', '57', '58', '6', '63', '65', '9', '98', '86', '54', '53', '48', '97', '88', '10', '34', '74', '91', '19', '20', '28', '7', '40', '99', '33', '70', '82', '39', '77', '60', '26', '15', '0', '35', '22', '21', '73', '81']"
bqp100_4,huffner,0.1,0.01,0.1,44,"['23', '24', '32', '35', '42', '44', '45', '48', '49', '58', '6', '75', '79', '85', '94', '70', '22', '8', '57', '37', '61', '15', '81', '63', '4', '99', '11', '10', '87', '43', '86', '54', '93', '97', '14', '36', '21', '73', '34', '92', '68', '1', '82', '30']"
