Dataset,Solver,Time,Size,Certificate
aa35,akiba_iwata,0.1,10,"[0, 3, 13, 14, 20, 21, 24, 30, 32, 37]"
aa35,ilp,0.0,10,"['14', '3', '37', '30', '13', '24', '11', '32', '20', '21']"
aa36,akiba_iwata,0.1,7,"[8, 10, 17, 18, 29, 31, 32]"
aa36,ilp,0.0,7,"['17', '10', '18', '8', '29', '32', '0']"
aa37,akiba_iwata,0.1,4,"[1, 5, 18, 28]"
aa37,ilp,0.0,4,"['28', '18', '5', '1']"
aa38,akiba_iwata,0.3,26,"[0, 5, 6, 7, 14, 16, 18, 21, 22, 25, 26, 29, 35, 38, 39, 41, 42, 47, 48, 49, 50, 52, 56, 62, 63, 65]"
aa38,ilp,0.1,26,"['49', '7', '48', '22', '65', '39', '62', '21', '26', '52', '0', '14', '6', '25', '38', '35', '5', '18', '42', '47', '63', '50', '29', '16', '56', '41']"
aa39,akiba_iwata,0.3,23,"[3, 5, 6, 7, 9, 10, 11, 13, 17, 18, 19, 20, 22, 23, 24, 27, 28, 29, 30, 31, 35, 40, 48]"
aa39,ilp,0.1,23,"['17', '7', '10', '22', '28', '13', '11', '20', '27', '3', '9', '30', '19', '6', '35', '18', '47', '23', '24', '31', '29', '40', '5']"
aa40,akiba_iwata,0.3,22,"[8, 12, 16, 18, 25, 27, 28, 30, 32, 33, 37, 40, 41, 44, 46, 47, 48, 50, 52, 53, 55, 56]"
aa40,ilp,0.1,22,"['46', '48', '28', '33', '27', '26', '8', '55', '52', '30', '37', '25', '18', '56', '50', '44', '16', '40', '32', '47', '41', '12']"
aa41,akiba_iwata,0.8,40,"[2, 6, 7, 8, 10, 11, 13, 14, 15, 18, 23, 27, 28, 29, 30, 35, 41, 44, 45, 46, 47, 48, 49, 50, 51, 56, 57, 58, 61, 62, 63, 66, 68, 71, 72, 74, 76, 79, 86, 87]"
aa41,ilp,0.4,40,"['7', '10', '44', '49', '13', '11', '12', '21', '18', '48', '56', '72', '68', '1', '66', '51', '14', '6', '8', '63', '76', '41', '29', '2', '30', '33', '62', '71', '15', '57', '61', '86', '74', '23', '50', '87', '58', '20', '79', '47']"
aa42,akiba_iwata,0.4,30,"[1, 5, 10, 11, 16, 18, 20, 23, 24, 25, 32, 33, 36, 38, 44, 47, 56, 58, 59, 61, 65, 66, 69, 74, 75, 78, 79, 80, 81, 85]"
aa42,ilp,0.3,30,"['80', '10', '69', '49', '59', '1', '66', '32', '18', '74', '75', '85', '81', '22', '65', '28', '33', '71', '35', '16', '47', '61', '78', '50', '84', '31', '5', '58', '20', '79']"
aa43,akiba_iwata,0.1,18,"[1, 2, 4, 5, 8, 10, 16, 20, 21, 22, 27, 28, 30, 31, 32, 36, 38, 39]"
aa43,ilp,0.1,18,"['36', '22', '10', '30', '27', '28', '39', '38', '8', '16', '32', '20', '4', '5', '2', '21', '1', '31']"
aa44,akiba_iwata,0.1,10,"[0, 4, 13, 16, 22, 25, 26, 27, 29, 30]"
aa44,ilp,0.0,10,"['22', '25', '11', '30', '13', '29', '16', '27', '4', '26']"
aa45,akiba_iwata,0.2,20,"[2, 3, 4, 6, 11, 12, 17, 20, 21, 22, 23, 24, 26, 29, 30, 33, 35, 36, 38, 42]"
aa45,ilp,0.1,20,"['36', '17', '3', '4', '6', '22', '2', '35', '30', '33', '38', '42', '23', '24', '11', '20', '21', '12', '26', '29']"
aa46,akiba_iwata,0.2,13,"[0, 1, 2, 3, 13, 14, 16, 19, 22, 26, 45, 54, 56]"
aa46,ilp,0.1,13,"['22', '13', '45', '54', '1', '26', '3', '14', '19', '2', '56', '16', '0']"
aa47,akiba_iwata,0.1,13,"[2, 5, 6, 16, 17, 18, 20, 25, 28, 29, 30, 32, 33]"
aa47,ilp,0.0,13,"['6', '22', '25', '30', '28', '18', '33', '29', '16', '32', '20', '2', '19']"
aa48,akiba_iwata,0.1,17,"[0, 3, 4, 7, 14, 15, 17, 18, 19, 21, 23, 27, 33, 34, 35, 37, 39]"
aa48,ilp,0.1,17,"['15', '17', '7', '3', '37', '4', '35', '33', '39', '38', '18', '23', '27', '34', '21', '19', '0']"
aa49,akiba_iwata,0.1,0,[]
aa49,ilp,0.0,0,[]
aa50,akiba_iwata,0.2,18,"[5, 7, 8, 11, 18, 22, 23, 24, 29, 33, 35, 36, 39, 49, 52, 53, 58, 59]"
aa50,ilp,0.1,18,"['7', '49', '22', '33', '11', '24', '53', '26', '52', '35', '18', '8', '23', '29', '5', '58', '59', '39']"
aa51,akiba_iwata,0.1,11,"[1, 3, 6, 7, 9, 11, 24, 25, 35, 41, 42]"
aa51,ilp,0.0,11,"['17', '7', '6', '35', '42', '3', '24', '11', '41', '9', '1']"
aa52,akiba_iwata,0.1,12,"[0, 1, 3, 11, 12, 17, 18, 21, 24, 25, 29, 30]"
aa52,ilp,0.1,12,"['17', '25', '11', '30', '18', '3', '24', '2', '21', '12', '1', '0']"
