Dataset,Solver,Time,Size,Certificate
j26,ilp,0.0,6,"['38', '44', '51', '8', '50', '45']"
j28,ilp,0.0,13,"['69', '14', '52', '7', '48', '53', '55', '54', '50', '12', '51', '10', '11']"
gka_1,ilp,0.1,10,"['43', '33', '25', '44', '10', '15', '14', '11', '34', '8']"
gka_2,ilp,0.3,17,"['6', '31', '38', '33', '44', '10', '47', '51', '49', '14', '40', '7', '41', '28', '36', '45', '53']"
gka_3,ilp,0.8,23,"['65', '20', '38', '25', '26', '3', '23', '19', '61', '10', '15', '47', '29', '5', '49', '46', '9', '64', '52', '11', '54', '36', '56']"
gka_4,ilp,1.3,28,"['65', '20', '31', '69', '62', '35', '50', '1', '61', '57', '10', '24', '49', '46', '9', '18', '37', '5', '40', '47', '76', '43', '14', '2', '32', '77', '68', '17']"
gka_5,ilp,0.1,22,"['6', '43', '38', '33', '25', '26', '35', '23', '30', '44', '47', '5', '49', '46', '21', '18', '14', '40', '11', '34', '48', '17']"
gka_6,ilp,0.1,16,"['9', '6', '4', '25', '0', '18', '23', '22', '19', '2', '17', '16', '15', '28', '24', '5']"
gka_7,ilp,0.0,18,"['9', '6', '4', '0', '23', '22', '8', '1', '2', '21', '17', '15', '12', '28', '29', '24', '5', '27']"
gka_8,ilp,5.0,28,"['20', '25', '99', '94', '60', '16', '15', '86', '9', '26', '74', '4', '95', '13', '80', '53', '31', '93', '3', '55', '12', '10', '63', '11', '59', '96', '87', '68']"
gka_9,ilp,0.0,16,"['19', '2', '16', '0', '10', '15', '13', '14', '7', '11', '4', '3', '1', '18', '8', '17']"
gka_10,ilp,0.0,26,"['9', '6', '4', '20', '0', '26', '14', '11', '3', '18', '23', '7', '8', '1', '19', '2', '21', '17', '16', '10', '12', '28', '29', '24', '5', '27']"
gka_11,ilp,0.0,36,"['9', '6', '4', '20', '38', '18', '29', '25', '0', '35', '26', '14', '11', '39', '3', '23', '22', '1', '34', '8', '30', '19', '2', '21', '17', '16', '15', '31', '13', '24', '12', '32', '28', '5', '36', '27']"
gka_12,ilp,0.0,46,"['6', '43', '20', '31', '25', '26', '3', '35', '23', '22', '30', '27', '44', '19', '1', '16', '10', '15', '47', '5', '49', '46', '9', '21', '18', '29', '24', '0', '42', '40', '11', '7', '34', '8', '48', '4', '2', '32', '17', '37', '13', '41', '12', '28', '36', '45']"
gka_13,ilp,0.0,56,"['6', '59', '37', '31', '38', '25', '26', '39', '3', '35', '23', '22', '30', '27', '44', '19', '1', '57', '16', '5', '15', '51', '12', '49', '55', '46', '9', '21', '4', '18', '29', '0', '24', '42', '14', '40', '52', '11', '43', '7', '34', '8', '48', '54', '50', '32', '2', '13', '41', '28', '58', '36', '45', '56', '53', '17']"
gka_14,ilp,0.0,66,"['6', '65', '37', '20', '31', '38', '33', '25', '69', '26', '62', '39', '3', '35', '23', '22', '30', '27', '44', '55', '19', '1', '61', '57', '16', '10', '15', '47', '51', '29', '24', '5', '49', '12', '45', '46', '9', '21', '64', '63', '18', '67', '66', '42', '14', '40', '52', '0', '7', '34', '8', '48', '4', '43', '54', '2', '50', '17', '13', '41', '28', '58', '68', '36', '56', '53']"
gka_15,ilp,0.0,76,"['6', '65', '20', '31', '38', '33', '25', '69', '26', '62', '79', '39', '3', '35', '23', '22', '60', '30', '27', '44', '78', '55', '19', '50', '1', '61', '57', '16', '10', '15', '51', '73', '29', '24', '49', '46', '75', '53', '9', '21', '63', '18', '70', '67', '66', '45', '0', '37', '42', '40', '47', '11', '59', '76', '74', '7', '34', '8', '72', '48', '43', '14', '54', '2', '71', '32', '13', '41', '12', '28', '58', '77', '36', '56', '68', '17']"
